Sex,X,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,11.2192,11.4551,11.8184,12.4581,13.2,14.0094,14.766,15.2383,15.545
1,1,13.0311,13.2907,13.6903,14.3581,15.1,15.9768,16.766,17.2383,17.545
1,2,14.343,14.6262,15.0621,15.8232,16.7,17.6443,18.5505,19.1318,19.5093
1,3,14.943,15.2262,15.6621,16.4557,17.4,18.4792,19.5068,20.1607,20.5854
1,4,15.155,15.4617,15.934,16.7883,17.8,18.8792,19.9068,20.5607,20.9854
1,5,15.255,15.5617,16.034,16.8883,17.9,18.9792,20.0349,20.7252,21.1735
1,6,15.343,15.6262,16.0621,16.8883,17.9,18.9792,20.0349,20.7252,21.1735
1,7,15.343,15.6262,16.0621,16.8557,17.8,18.8792,19.9349,20.6252,21.0735
1,8,15.243,15.5262,15.9621,16.7557,17.7,18.7792,19.8068,20.4607,20.8854
1,9,15.2311,15.4907,15.8903,16.6557,17.6,18.6117,19.6068,20.2607,20.6854
1,10,15.1311,15.3907,15.7903,16.5557,17.5,18.5117,19.4786,20.0963,20.4973
1,11,15.0311,15.2907,15.6903,16.4232,17.3,18.3117,19.2786,19.8963,20.2973
1,12,14.9311,15.1907,15.5903,16.2906,17.1,18.1117,19.0786,19.6963,20.0973
1,13,14.8192,15.0551,15.4184,16.1232,17.0,17.9443,18.8786,19.4963,19.8973
1,14,14.7192,14.9551,15.3184,15.9906,16.8,17.8117,18.7505,19.3318,19.7093
1,15,14.6192,14.8551,15.2184,15.8906,16.7,17.6443,18.5505,19.1318,19.5093
1,16,14.5192,14.7551,15.1184,15.7906,16.6,17.5443,18.4505,19.0318,19.4093
1,17,14.4192,14.6551,15.0184,15.6906,16.5,17.3768,18.2505,18.8318,19.2093
1,18,14.3192,14.5551,14.9184,15.5906,16.4,17.2768,18.1505,18.7318,19.1093
1,19,14.2192,14.4551,14.8184,15.4906,16.3,17.1768,18.0505,18.6318,19.0093
1,20,14.2073,14.4196,14.7466,15.3906,16.2,17.0768,17.9505,18.5318,18.9093
1,21,14.1192,14.3551,14.7184,15.3581,16.1,16.9768,17.8505,18.4318,18.8093
1,22,14.0192,14.2551,14.6184,15.2581,16.0,16.8768,17.7505,18.3318,18.7093
1,23,14.0073,14.2196,14.5466,15.1581,15.9,16.7768,17.6505,18.2318,18.6093
1,24,14.1192,14.3551,14.7184,15.3581,16.1,16.9768,17.8505,18.4318,18.8093
1,27,14.0073,14.2196,14.5466,15.1581,15.9,16.7768,17.6505,18.2318,18.6093
1,30,13.8192,14.0551,14.4184,15.0581,15.8,16.6094,17.4505,18.0318,18.4093
1,33,13.7192,13.9551,14.3184,14.9255,15.6,16.4768,17.3223,17.8673,18.2212
1,36,13.7073,13.9196,14.2466,14.8255,15.5,16.3768,17.2223,17.7673,18.1212
1,39,13.6073,13.8196,14.1466,14.7255,15.4,16.2768,17.1223,17.6673,18.0212
1,42,13.5073,13.7196,14.0466,14.6581,15.4,16.2094,17.0223,17.5673,17.9212
1,45,13.5073,13.7196,14.0466,14.6255,15.3,16.1768,17.0223,17.5673,17.9212
1,48,13.4073,13.6196,13.9466,14.5581,15.3,16.1768,17.0223,17.5673,17.9212
1,51,13.4073,13.6196,13.9466,14.5581,15.3,16.1768,17.0505,17.6318,18.0093
1,54,13.4073,13.6196,13.9466,14.5581,15.3,16.1768,17.0505,17.6318,18.0093
1,57,13.3073,13.5196,13.8466,14.4906,15.3,16.1768,17.0786,17.6963,18.0973
1,60,13.3073,13.5196,13.8466,14.4906,15.3,16.2443,17.1786,17.7963,18.1973
1,63,13.2192,13.4551,13.8184,14.4906,15.3,16.2443,17.2349,17.9252,18.3735
1,66,13.2192,13.4551,13.8184,14.4906,15.3,16.3117,17.3349,18.0252,18.4735
1,69,13.2192,13.4551,13.8184,14.4906,15.3,16.3792,17.4631,18.1897,18.6616
1,72,13.2192,13.4551,13.8184,14.5232,15.4,16.4792,17.5913,18.3542,18.8497
1,75,13.1311,13.3907,13.7903,14.5232,15.4,16.5466,17.7194,18.5187,19.0377
1,78,13.1311,13.3907,13.7903,14.5232,15.4,16.6141,17.8476,18.6832,19.2258
1,81,13.1311,13.3907,13.7903,14.5232,15.4,16.6141,17.9039,18.8121,19.402
2,0,11.0311,11.2907,11.6903,12.3581,13.1,13.8419,14.5379,14.9738,15.257
2,1,12.7073,12.9196,13.2466,13.8906,14.7,15.5094,16.2942,16.8028,17.1331
2,2,13.8311,14.0907,14.4903,15.2232,16.1,17.0443,17.9505,18.5318,18.9093
2,3,14.4311,14.6907,15.0903,15.8232,16.7,17.7792,18.7786,19.3963,19.7973
2,4,14.7311,14.9907,15.3903,16.1557,17.1,18.1117,19.1349,19.8252,20.2735
2,5,14.843,15.1262,15.5621,16.3557,17.3,18.3117,19.3349,20.0252,20.4735
2,6,14.9311,15.1907,15.5903,16.3557,17.3,18.3792,19.4349,20.1252,20.5735
2,7,14.9311,15.1907,15.5903,16.3557,17.3,18.3792,19.4068,20.0607,20.4854
2,8,14.843,15.1262,15.5621,16.3232,17.2,18.2792,19.3068,19.9607,20.3854
2,9,14.743,15.0262,15.4621,16.2232,17.1,18.1117,19.1068,19.7607,20.1854
2,10,14.7311,14.9907,15.3903,16.1232,17.0,17.9443,18.9068,19.5607,19.9854
2,11,14.6311,14.8907,15.2903,15.9906,16.8,17.8117,18.7786,19.3963,19.7973
2,12,14.5192,14.7551,15.1184,15.8232,16.7,17.6443,18.5786,19.1963,19.5973
2,13,14.4192,14.6551,15.0184,15.6906,16.5,17.4443,18.3786,18.9963,19.3973
2,14,14.3192,14.5551,14.9184,15.5906,16.4,17.3443,18.2505,18.8318,19.2093
2,15,14.2192,14.4551,14.8184,15.4906,16.3,17.1768,18.0505,18.6318,19.0093
2,16,14.1192,14.3551,14.7184,15.3906,16.2,17.0768,17.9505,18.5318,18.9093
2,17,14.0192,14.2551,14.6184,15.2581,16.0,16.9443,17.8223,18.3673,18.7212
2,18,13.9192,14.1551,14.5184,15.1581,15.9,16.8443,17.7223,18.2673,18.6212
2,19,13.9073,14.1196,14.4466,15.0906,15.9,16.7768,17.6223,18.1673,18.5212
2,20,13.8192,14.0551,14.4184,15.0581,15.8,16.6768,17.5223,18.0673,18.4212
2,21,13.8073,14.0196,14.3466,14.9581,15.7,16.5768,17.4223,17.9673,18.3212
2,22,13.7073,13.9196,14.2466,14.8581,15.6,16.4768,17.3223,17.8673,18.2212
2,23,13.6192,13.8551,14.2184,14.8581,15.6,16.4094,17.2223,17.7673,18.1212
2,24,13.8192,14.0551,14.4184,15.0581,15.8,16.6094,17.4505,18.0318,18.4093
2,27,13.7073,13.9196,14.2466,14.8581,15.6,16.4768,17.3223,17.8673,18.2212
2,30,13.6073,13.8196,14.1466,14.7581,15.5,16.3094,17.1223,17.6673,18.0212
2,33,13.5073,13.7196,14.0466,14.6581,15.4,16.2094,17.0223,17.5673,17.9212
2,36,13.4073,13.6196,13.9466,14.5581,15.3,16.1094,16.9505,17.5318,17.9093
2,39,13.3073,13.5196,13.8466,14.4581,15.2,16.0768,16.9223,17.4673,17.8212
2,42,13.3073,13.5196,13.8466,14.4581,15.2,16.0768,16.9223,17.4673,17.8212
2,45,13.2073,13.4196,13.7466,14.3581,15.1,15.9768,16.8505,17.4318,17.8093
2,48,13.1192,13.3551,13.7184,14.3581,15.1,15.9768,16.8505,17.4318,17.8093
2,51,13.1073,13.3196,13.6466,14.2581,15.0,15.9443,16.8505,17.4318,17.8093
2,54,13.0192,13.2551,13.6184,14.2581,15.0,15.9443,16.8786,17.4963,17.8973
2,57,13.0192,13.2551,13.6184,14.2581,15.0,15.9443,16.8786,17.4963,17.8973
2,60,13.0073,13.2196,13.5466,14.1906,15.0,15.9443,16.9068,17.5607,17.9854
2,63,12.9192,13.1551,13.5184,14.1906,15.0,15.9443,16.9349,17.6252,18.0735
2,66,12.9192,13.1551,13.5184,14.1906,15.0,16.0117,17.0349,17.7252,18.1735
2,69,12.9192,13.1551,13.5184,14.1906,15.0,16.0117,17.0349,17.7252,18.1735
2,72,12.8311,13.0907,13.4903,14.1906,15.0,16.0792,17.1349,17.8252,18.2735
2,75,12.8311,13.0907,13.4903,14.1906,15.0,16.0792,17.1631,17.8897,18.3616
2,78,12.8311,13.0907,13.4903,14.1906,15.0,16.0792,17.1913,17.9542,18.4497
2,81,12.8311,13.0907,13.4903,14.1906,15.0,16.1466,17.2913,18.0542,18.5497
