Sex,X,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,31.855,32.1617,32.634,33.4232,34.3,35.1768,35.966,36.4383,36.745
1,1,34.743,35.0262,35.4621,36.1906,37.0,37.8094,38.5379,38.9738,39.257
1,2,36.9311,37.1907,37.5903,38.2906,39.1,39.8419,40.5379,40.9738,41.257
1,3,38.3311,38.5907,38.9903,39.6906,40.5,41.2419,41.9379,42.3738,42.657
1,4,39.4311,39.6907,40.0903,40.7906,41.6,42.4094,43.1379,43.5738,43.857
1,5,40.3311,40.5907,40.9903,41.6906,42.5,43.3768,44.1379,44.5738,44.857
1,6,41.1311,41.3907,41.7903,42.5232,43.4,44.2094,44.966,45.4383,45.745
1,7,41.8311,42.0907,42.4903,43.1906,44.0,44.8768,45.666,46.1383,46.445
1,8,42.343,42.6262,43.0621,43.7906,44.6,45.4768,46.266,46.7383,47.045
1,9,42.843,43.1262,43.5621,44.2906,45.1,45.9768,46.766,47.2383,47.545
1,10,43.243,43.5262,43.9621,44.6906,45.5,46.3768,47.166,47.6383,47.945
1,11,43.543,43.8262,44.2621,44.9906,45.8,46.6768,47.466,47.9383,48.245
1,12,43.843,44.1262,44.5621,45.2906,46.1,46.9768,47.766,48.2383,48.545
1,13,44.1311,44.3907,44.7903,45.5232,46.4,47.2768,48.066,48.5383,48.845
1,14,44.343,44.6262,45.0621,45.7906,46.6,47.4768,48.266,48.7383,49.045
1,15,44.543,44.8262,45.2621,45.9906,46.8,47.6768,48.466,48.9383,49.245
1,16,44.743,45.0262,45.4621,46.1906,47.0,47.8768,48.666,49.1383,49.445
1,17,44.843,45.1262,45.5621,46.3232,47.2,48.0768,48.866,49.3383,49.645
1,18,45.043,45.3262,45.7621,46.5232,47.4,48.2768,49.066,49.5383,49.845
1,19,45.243,45.5262,45.9621,46.6906,47.5,48.3768,49.1942,49.7028,50.0331
1,20,45.443,45.7262,46.1621,46.8906,47.7,48.5768,49.3942,49.9028,50.2331
1,21,45.543,45.8262,46.2621,47.0232,47.9,48.7768,49.566,50.0383,50.345
1,22,45.743,46.0262,46.4621,47.2232,48.1,48.9768,49.766,50.2383,50.545
1,23,45.855,46.1617,46.634,47.3906,48.2,49.0768,49.8942,50.4028,50.7331
1,24,46.043,46.3262,46.7621,47.4906,48.3,49.1768,49.9942,50.5028,50.8331
1,27,46.343,46.6262,47.0621,47.8232,48.7,49.5768,50.366,50.8383,51.145
1,30,46.555,46.8617,47.334,48.0906,48.9,49.8443,50.666,51.1383,51.445
1,33,46.843,47.1262,47.5621,48.3232,49.2,50.0768,50.8942,51.4028,51.7331
1,36,46.955,47.2617,47.734,48.4906,49.3,50.2443,51.0942,51.6028,51.9331
2,0,31.555,31.8617,32.334,33.0906,33.9,34.7768,35.566,36.0383,36.345
2,1,34.143,34.4262,34.8621,35.5581,36.3,37.1094,37.8097,38.2093,38.4689
2,2,36.1311,36.3907,36.7903,37.4581,38.2,38.9419,39.6097,40.0093,40.2689
2,3,37.4311,37.6907,38.0903,38.7581,39.5,40.3094,41.0097,41.4093,41.6689
2,4,38.4311,38.6907,39.0903,39.7906,40.6,41.3419,42.0379,42.4738,42.757
2,5,39.3311,39.5907,39.9903,40.6906,41.5,42.2419,42.9379,43.3738,43.657
2,6,40.043,40.3262,40.7621,41.4581,42.2,43.0094,43.7379,44.1738,44.457
2,7,40.7311,40.9907,41.3903,42.0906,42.9,43.7094,44.4379,44.8738,45.157
2,8,41.243,41.5262,41.9621,42.6906,43.5,44.3094,45.0379,45.4738,45.757
2,9,41.743,42.0262,42.4621,43.1906,44.0,44.8094,45.566,46.0383,46.345
2,10,42.143,42.4262,42.8621,43.5906,44.4,45.2094,45.966,46.4383,46.745
2,11,42.543,42.8262,43.2621,43.9906,44.8,45.6094,46.366,46.8383,47.145
2,12,42.843,43.1262,43.5621,44.2906,45.1,45.9768,46.7379,47.1738,47.457
2,13,43.055,43.3617,43.834,44.5906,45.4,46.2094,46.966,47.4383,47.745
2,14,43.343,43.6262,44.0621,44.7906,45.6,46.4768,47.266,47.7383,48.045
2,15,43.543,43.8262,44.2621,45.0232,45.9,46.7094,47.466,47.9383,48.245
2,16,43.743,44.0262,44.4621,45.2232,46.1,46.9094,47.666,48.1383,48.445
2,17,43.943,44.2262,44.6621,45.3906,46.2,47.0768,47.866,48.3383,48.645
2,18,44.055,44.3617,44.834,45.5906,46.4,47.2768,48.066,48.5383,48.845
2,19,44.243,44.5262,44.9621,45.7232,46.6,47.4768,48.266,48.7383,49.045
2,20,44.443,44.7262,45.1621,45.8906,46.7,47.5768,48.366,48.8383,49.145
2,21,44.543,44.8262,45.2621,46.0232,46.9,47.7768,48.566,49.0383,49.345
2,22,44.743,45.0262,45.4621,46.2232,47.1,47.9768,48.766,49.2383,49.545
2,23,44.843,45.1262,45.5621,46.3232,47.2,48.0768,48.866,49.3383,49.645
2,24,44.955,45.2617,45.734,46.4906,47.3,48.1768,48.9942,49.5028,49.8331
2,27,45.255,45.5617,46.034,46.7906,47.6,48.5443,49.366,49.8383,50.145
2,30,45.555,45.8617,46.334,47.0906,47.9,48.8443,49.666,50.1383,50.445
2,33,45.843,46.1262,46.5621,47.3232,48.2,49.1443,49.966,50.4383,50.745
2,36,46.055,46.3617,46.834,47.6232,48.5,49.4443,50.266,50.7383,51.045
