Sex,X,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,47.5265,47.9748,48.6651,49.851,51.2,52.4815,53.6349,54.3252,54.7735
1,1,51.3384,51.8103,52.5369,53.751,55.1,56.5164,57.7631,58.4897,58.9616
1,2,54.9503,55.4458,56.2087,57.5161,59.0,60.4164,61.6913,62.4542,62.9497
1,3,58.0623,58.5813,59.3806,60.7161,62.2,63.6839,65.0194,65.8187,66.3377
1,4,60.5623,61.0813,61.8806,63.2487,64.8,66.3513,67.7476,68.5832,69.1258
1,5,62.5742,63.1168,63.9524,65.3487,66.9,68.5188,69.9476,70.7832,71.3258
1,6,64.2742,64.8168,65.6524,67.0812,68.7,70.3188,71.7757,72.6476,73.2139
1,7,65.698,66.2879,67.1961,68.6812,70.3,71.9188,73.3757,74.2476,74.8139
1,8,67.098,67.6879,68.5961,70.0812,71.7,73.3862,74.9039,75.8121,76.402
1,9,68.298,68.8879,69.7961,71.3463,73.1,74.7862,76.3039,77.2121,77.802
1,10,69.5099,70.1234,71.068,72.6138,74.3,76.0537,77.6039,78.5121,79.102
1,11,70.6099,71.2234,72.168,73.7463,75.5,77.2537,78.832,79.7766,80.3901
1,12,71.7219,72.3589,73.3398,74.9463,76.7,78.4537,80.032,80.9766,81.5901
1,13,72.8099,73.4234,74.368,75.9789,77.8,79.6211,81.232,82.1766,82.7901
1,14,73.8219,74.4589,75.4398,77.0789,78.9,80.7211,82.3602,83.3411,83.9781
1,15,74.8219,75.4589,76.4398,78.1114,80.0,81.8211,83.4883,84.5056,85.1662
1,16,75.8219,76.4589,77.4398,79.1114,81.0,82.8886,84.5883,85.6056,86.2662
1,17,76.7338,77.3944,78.4117,80.144,82.1,83.9886,85.6883,86.7056,87.3662
1,18,77.7338,78.3944,79.4117,81.144,83.1,85.056,86.7883,87.8056,88.4662
1,19,78.6457,79.3299,80.3835,82.144,84.1,86.056,87.8165,88.8701,89.5543
1,20,79.5576,80.2654,81.3553,83.144,85.1,87.056,88.8447,89.9346,90.6424
1,21,80.4576,81.1654,82.2553,84.0765,86.1,88.1235,89.9165,90.9701,91.6543
1,22,81.3576,82.0654,83.1553,84.9765,87.0,89.0909,90.9447,92.0346,92.7424
1,23,82.2576,82.9654,84.0553,85.9091,88.0,90.0235,91.8728,92.999,93.7305
1,24,82.3695,83.101,84.2272,86.1091,88.2,90.2909,92.1728,93.299,94.0305
1,27,84.7815,85.5365,86.699,88.6416,90.8,92.9584,94.901,96.0635,96.8185
1,30,86.9934,87.772,88.9709,90.9742,93.2,95.4258,97.4291,98.628,99.4066
1,33,89.0053,89.8075,91.0427,93.1067,95.4,97.6933,99.7573,100.9925,101.7947
1,36,90.9172,91.743,93.0146,95.1393,97.5,99.8607,101.9854,103.257,104.0828
1,39,92.6411,93.514,94.8583,97.0718,99.5,101.9282,104.1136,105.4215,106.2709
1,42,94.3411,95.214,96.5583,98.8044,101.3,103.7956,106.0417,107.386,108.2589
1,45,96.053,96.9496,98.3301,100.6044,103.1,105.6631,107.9699,109.3504,110.247
1,48,97.653,98.5496,99.9301,102.2695,104.9,107.5305,109.8699,111.2504,112.147
1,51,99.2649,100.1851,101.6019,103.9695,106.6,109.298,111.6981,113.1149,114.0351
1,54,100.7887,101.7561,103.2456,105.702,108.4,111.098,113.5544,115.0439,116.0113
