Sex,X,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,2.7477,2.8421,2.9874,3.2302,3.5,3.7698,4.0126,4.1579,4.2523
1,1,3.6596,3.7776,3.9592,4.2628,4.6,4.9372,5.2408,5.4224,5.5404
1,2,4.6715,4.8131,5.0311,5.3953,5.8,6.2721,6.6971,6.9514,7.1166
1,3,5.5715,5.7131,5.9311,6.3279,6.8,7.3396,7.8252,8.1159,8.3046
1,4,6.0834,6.2486,6.5029,6.9604,7.5,8.0396,8.5816,8.9449,9.1808
1,5,6.5834,6.7486,7.0029,7.4604,8.0,8.607,9.1816,9.5449,9.7808
1,6,6.8954,7.0841,7.3748,7.8604,8.4,9.0745,9.7097,10.1093,10.3689
1,7,7.1954,7.3841,7.6748,8.193,8.8,9.4745,10.1097,10.5093,10.7689
1,8,7.4954,7.6841,7.9748,8.493,9.1,9.7745,10.4379,10.8738,11.157
1,9,7.6954,7.8841,8.1748,8.7255,9.4,10.0745,10.7379,11.1738,11.457
1,10,7.9073,8.1196,8.4466,8.993,9.6,10.3419,11.0379,11.4738,11.757
1,11,8.1073,8.3196,8.6466,9.193,9.8,10.5419,11.266,11.7383,12.045
1,12,8.3073,8.5196,8.8466,9.4255,10.1,10.8419,11.5379,11.9738,12.257
1,13,8.4073,8.6196,8.9466,9.5581,10.3,11.0419,11.766,12.2383,12.545
1,14,8.6073,8.8196,9.1466,9.7581,10.5,11.2419,11.966,12.4383,12.745
1,15,8.8073,9.0196,9.3466,9.9581,10.7,11.4419,12.1942,12.7028,13.0331
1,16,8.9192,9.1551,9.5184,10.1581,10.9,11.7094,12.466,12.9383,13.245
1,17,9.1192,9.3551,9.7184,10.3581,11.1,11.9094,12.6942,13.2028,13.5331
1,18,9.3192,9.5551,9.9184,10.5581,11.3,12.1094,12.9223,13.4673,13.8212
1,19,9.5192,9.7551,10.1184,10.7581,11.5,12.3768,13.1942,13.7028,14.0331
1,20,9.6311,9.8907,10.2903,10.9581,11.7,12.5768,13.4223,13.9673,14.3212
1,21,9.8311,10.0907,10.4903,11.1581,11.9,12.8443,13.7223,14.2673,14.6212
1,22,10.0311,10.2907,10.6903,11.3906,12.2,13.0768,13.9223,14.4673,14.8212
1,23,10.2192,10.4551,10.8184,11.5232,12.4,13.2768,14.1505,14.7318,15.1093
1,24,10.3311,10.5907,10.9903,11.7232,12.6,13.5443,14.4505,15.0318,15.4093
1,27,10.8311,11.0907,11.4903,12.2232,13.1,14.1117,15.0786,15.6963,16.0973
1,30,11.243,11.5262,11.9621,12.7557,13.7,14.7117,15.7068,16.3607,16.7854
1,33,11.643,11.9262,12.3621,13.1883,14.2,15.2792,16.3068,16.9607,17.3854
1,36,12.055,12.3617,12.834,13.6557,14.6,15.7466,16.8631,17.5897,18.0616
1,39,12.455,12.7617,13.234,14.1208,15.2,16.3466,17.4913,18.2542,18.7497
1,42,12.8669,13.1972,13.7058,14.6208,15.7,16.9141,18.1194,18.9187,19.4377
1,45,13.2669,13.5972,14.1058,15.0534,16.2,17.4815,18.7476,19.5832,20.1258
1,48,13.6788,14.0327,14.5777,15.5534,16.7,18.1164,19.4476,20.2832,20.8258
1,51,14.0907,14.4682,15.0495,16.0859,17.3,18.7164,20.1039,21.0121,21.602
1,54,14.4907,14.8682,15.4495,16.551,17.9,19.3839,20.832,21.7766,22.3901
1,57,14.9027,15.3037,15.9214,17.051,18.4,20.0188,21.5883,22.6056,23.2662
1,60,15.3146,15.7393,16.3932,17.6161,19.1,20.7862,22.4165,23.4701,24.1543
1,63,15.8265,16.2748,16.9651,18.2161,19.7,21.4537,23.201,24.3635,25.1185
1,66,16.2384,16.7103,17.4369,18.7487,20.3,22.1886,24.0291,25.228,26.0066
1,69,16.6503,17.1458,17.9087,19.3138,21.0,22.956,24.8854,26.157,26.9828
1,72,17.0623,17.5813,18.3806,19.8463,21.6,23.6909,25.7417,27.086,27.9589
1,75,17.4742,18.0168,18.8524,20.3789,22.2,24.4258,26.5981,28.0149,28.9351
1,78,17.8861,18.4524,19.3243,20.9114,22.8,25.0933,27.3544,28.8439,29.8113
1,81,18.198,18.7879,19.6961,21.3765,23.4,25.7607,28.1107,29.6729,30.6874
2,0,2.6477,2.7421,2.8874,3.0977,3.3,3.5698,3.8126,3.9579,4.0523
2,1,3.4477,3.5421,3.6874,3.9628,4.3,4.6372,4.9408,5.1224,5.2404
2,2,4.3596,4.4776,4.6592,4.9953,5.4,5.8047,6.1971,6.4514,6.6166
2,3,5.0715,5.2131,5.4311,5.7953,6.2,6.6721,7.1252,7.4159,7.6046
2,4,5.5834,5.7486,6.0029,6.4279,6.9,7.4396,7.9534,8.2804,8.4927
2,5,6.0715,6.2131,6.4311,6.8604,7.4,7.9396,8.4816,8.8449,9.0808
