Sex,X,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,75,8.5715,8.7131,8.9311,9.3604,9.9,10.507,11.0816,11.4449,11.6808
1,76,8.6834,8.8486,9.1029,9.5604,10.1,10.707,11.2816,11.6449,11.8808
1,77,8.8834,9.0486,9.3029,9.7604,10.3,10.907,11.4816,11.8449,12.0808
1,78,9.0834,9.2486,9.5029,9.9604,10.5,11.107,11.7097,12.1093,12.3689
1,79,9.1834,9.3486,9.6029,10.0604,10.6,11.2745,11.9097,12.3093,12.5689
1,80,9.3834,9.5486,9.8029,10.2604,10.8,11.4745,12.1097,12.5093,12.7689
1,81,9.5834,9.7486,10.0029,10.4604,11.0,11.6745,12.3097,12.7093,12.9689
1,82,9.7834,9.9486,10.2029,10.6604,11.2,11.8745,12.5097,12.9093,13.1689
1,83,9.9834,10.1486,10.4029,10.8604,11.4,12.0745,12.7379,13.1738,13.457
1,84,10.0954,10.2841,10.5748,11.0604,11.6,12.2745,12.9379,13.3738,13.657
1,85,10.2954,10.4841,10.7748,11.2604,11.8,12.4745,13.1379,13.5738,13.857
1,86,10.4954,10.6841,10.9748,11.493,12.1,12.7745,13.4379,13.8738,14.157
1,87,10.6954,10.8841,11.1748,11.693,12.3,12.9745,13.6379,14.0738,14.357
1,88,10.8954,11.0841,11.3748,11.893,12.5,13.1745,13.866,14.3383,14.645
1,89,11.0954,11.2841,11.5748,12.093,12.7,13.4419,14.1379,14.5738,14.857
1,90,11.2954,11.4841,11.7748,12.293,12.9,13.6419,14.366,14.8383,15.145
1,91,11.4954,11.6841,11.9748,12.5255,13.2,13.8745,14.566,15.0383,15.345
1,92,11.6954,11.8841,12.1748,12.7255,13.4,14.1419,14.866,15.3383,15.645
1,93,11.8954,12.0841,12.3748,12.9255,13.6,14.3419,15.0942,15.6028,15.9331
1,94,12.1073,12.3196,12.6466,13.193,13.8,14.6094,15.366,15.8383,16.145
1,95,12.3073,12.5196,12.8466,13.4255,14.1,14.8419,15.5942,16.1028,16.4331
1,96,12.5954,12.7841,13.0748,13.6255,14.3,15.1094,15.8942,16.4028,16.7331
1,97,12.8073,13.0196,13.3466,13.9255,14.6,15.4094,16.1942,16.7028,17.0331
1,98,13.0073,13.2196,13.5466,14.1255,14.8,15.6768,16.4942,17.0028,17.3331
1,99,13.3073,13.5196,13.8466,14.4255,15.1,15.9094,16.7223,17.2673,17.6212
1,100,13.5073,13.7196,14.0466,14.6581,15.4,16.2094,17.0223,17.5673,17.9212
1,101,13.8073,14.0196,14.3466,14.9581,15.7,16.5094,17.3505,17.9318,18.3093
1,102,14.0192,14.2551,14.6184,15.2581,16.0,16.8768,17.7223,18.2673,18.6212
1,103,14.3073,14.5196,14.8466,15.4906,16.3,17.1768,18.0505,18.6318,19.0093
1,104,14.5192,14.7551,15.1184,15.7906,16.6,17.4768,18.3505,18.9318,19.3093
1,105,14.8192,15.0551,15.4184,16.0581,16.8,17.7443,18.6786,19.2963,19.6973
1,106,15.0311,15.2907,15.6903,16.3581,17.1,18.1117,19.0505,19.6318,20.0093
1,107,15.3192,15.5551,15.9184,16.5906,17.4,18.4117,19.3786,19.9963,20.3973
1,108,15.5311,15.7907,16.1903,16.9232,17.8,18.7443,19.7068,20.3607,20.7854
1,109,15.8311,16.0907,16.4903,17.2232,18.1,19.1117,20.1068,20.7607,21.1854
1,110,16.043,16.3262,16.7621,17.5232,18.4,19.4792,20.5068,21.1607,21.5854
