Sex,X,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,45,2.0119,2.0355,2.0718,2.1651,2.3,2.4349,2.5845,2.6935,2.7642
1,46,2.1238,2.171,2.2437,2.3651,2.5,2.6349,2.7845,2.8935,2.9642
1,47,2.3238,2.371,2.4437,2.5651,2.7,2.8349,2.9845,3.0935,3.1642
1,48,2.4238,2.471,2.5437,2.6977,2.9,3.1023,3.2845,3.3935,3.4642
1,49,2.6238,2.671,2.7437,2.8977,3.1,3.3023,3.4845,3.5935,3.6642
1,50,2.8238,2.871,2.9437,3.0977,3.3,3.5023,3.6845,3.7935,3.8642
1,51,3.0238,3.071,3.1437,3.2977,3.5,3.7023,3.9126,4.0579,4.1523
1,52,3.2238,3.271,3.3437,3.5302,3.8,4.0023,4.2126,4.3579,4.4523
1,53,3.4358,3.5065,3.6155,3.7977,4.0,4.2698,4.5126,4.6579,4.7523
1,54,3.6358,3.7065,3.8155,4.0302,4.3,4.5698,4.8408,5.0224,5.1404
1,55,3.9358,4.0065,4.1155,4.3302,4.6,4.8698,5.1408,5.3224,5.4404
1,56,4.1477,4.2421,4.3874,4.6302,4.9,5.1698,5.4689,5.6869,5.8285
1,57,4.4477,4.5421,4.6874,4.9302,5.2,5.5372,5.8408,6.0224,6.1404
1,58,4.6477,4.7421,4.8874,5.1628,5.5,5.8372,6.1689,6.3869,6.5285
1,59,4.9477,5.0421,5.1874,5.4628,5.8,6.1372,6.4971,6.7514,6.9166
1,60,5.1596,5.2776,5.4592,5.7628,6.1,6.5047,6.8689,7.0869,7.2285
1,61,5.4596,5.5776,5.7592,6.0628,6.4,6.8047,7.1971,7.4514,7.6166
1,62,5.6596,5.7776,5.9592,6.2953,6.7,7.1047,7.4971,7.7514,7.9166
1,63,5.9596,6.0776,6.2592,6.5628,6.9,7.3721,7.7971,8.0514,8.2166
1,64,6.1596,6.2776,6.4592,6.7953,7.2,7.6721,8.1252,8.4159,8.6046
1,65,6.3715,6.5131,6.7311,7.0953,7.5,7.9721,8.4252,8.7159,8.9046
1,66,6.6596,6.7776,6.9592,7.2953,7.7,8.2396,8.7252,9.0159,9.2046
1,67,6.8596,6.9776,7.1592,7.5279,8.0,8.4721,8.9534,9.2804,9.4927
1,68,7.0715,7.2131,7.4311,7.7953,8.2,8.7396,9.2534,9.5804,9.7927
1,69,7.2715,7.4131,7.6311,8.0279,8.5,8.9721,9.4534,9.7804,9.9927
1,70,7.4715,7.6131,7.8311,8.2279,8.7,9.2396,9.7534,10.0804,10.2927
1,71,7.6715,7.8131,8.0311,8.4279,8.9,9.4396,9.9816,10.3449,10.5808
1,72,7.8715,8.0131,8.2311,8.6279,9.1,9.707,10.2534,10.5804,10.7927
1,73,8.0715,8.2131,8.4311,8.8279,9.3,9.907,10.4816,10.8449,11.0808
1,74,8.2715,8.4131,8.6311,9.0279,9.5,10.107,10.6816,11.0449,11.2808
