Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,24,-1.435,16.777,0.098,14.246,14.5124,14.9474,15.7503,16.777,17.9835,19.2689,20.1527,20.782
1,30,-1.435,16.784,0.098,14.2519,14.5184,14.9536,15.7569,16.784,17.9911,19.277,20.1611,20.7906
1,36,-1.435,16.792,0.099,14.2375,14.506,14.9445,15.7547,16.792,18.0131,19.3163,20.214,20.8539
1,42,-1.435,16.802,0.099,14.246,14.5146,14.9534,15.764,16.802,18.0238,19.3279,20.226,20.8663
1,48,-1.435,16.82,0.1,14.2401,14.5108,14.9532,15.7712,16.82,18.0566,19.3789,20.2912,20.9424
1,54,-1.435,16.85,0.101,14.2444,14.5174,14.9637,15.7897,16.85,18.1023,19.444,20.3713,21.034
1,60,-1.435,16.892,0.102,14.2589,14.5343,14.9848,15.8193,16.892,18.161,19.5232,20.4663,21.1411
1,66,-1.435,16.949,0.104,14.265,14.5448,15.003,15.8532,16.949,18.2496,19.6512,20.6248,21.3233
1,72,-1.435,17.023,0.107,14.2644,14.5507,15.0201,15.8932,17.023,18.3706,19.8313,20.8514,21.586
1,78,-1.435,17.114,0.11,14.2782,14.5711,15.052,15.9489,17.114,18.5106,20.0333,21.1024,21.8752
1,84,-1.435,17.229,0.113,14.312,14.6119,15.1049,16.0268,17.229,18.6773,20.2657,21.387,22.2007
1,90,-1.435,17.371,0.118,14.3269,14.6374,15.1491,16.11,17.371,18.9029,20.5997,21.8084,22.6916
1,96,-1.435,17.545,0.123,14.368,14.6896,15.2208,16.2223,17.545,19.1653,20.978,22.2815,23.2406
1,102,-1.435,17.753,0.129,14.4165,14.7512,15.3054,16.3555,17.753,19.4821,21.4402,22.8646,23.9217
1,108,-1.435,17.996,0.135,14.4927,14.841,15.4192,16.52,17.996,19.8406,21.9555,23.5122,24.678
1,114,-1.435,18.27,0.141,14.5929,14.9552,15.5583,16.7117,18.27,20.237,22.5207,24.2222,25.5083
1,120,-1.435,18.577,0.147,14.718,15.0949,15.7238,16.9323,18.577,20.674,23.1399,25.0002,26.4202
1,126,-1.435,18.915,0.154,14.8461,15.2395,15.8978,17.1695,18.915,21.1668,23.855,25.9138,27.504
1,132,-1.435,19.284,0.16,15.0163,15.4253,16.1115,17.443,19.284,21.683,24.5847,26.8368,28.5952
1,138,-1.435,19.686,0.165,15.2294,15.6536,16.3665,17.7548,19.686,22.2237,25.3276,27.7642,29.6844
1,144,-1.435,20.122,0.17,15.4662,15.9062,16.6472,18.0955,20.122,22.8076,26.1294,28.7678,30.8671
1,150,-1.435,20.596,0.175,15.7293,16.186,16.9566,18.4683,20.596,23.4395,26.9971,29.8568,32.1551
1,156,-1.435,21.107,0.178,16.0581,16.5299,17.327,18.8938,21.107,24.0798,27.8248,30.8575,33.3099
1,162,-1.435,21.651,0.181,16.4094,16.8973,17.7223,19.3474,21.651,24.761,28.7063,31.925,34.5444
1,168,-1.435,22.212,0.182,16.8134,17.3152,18.164,19.8373,22.212,25.4233,29.5068,32.8466,35.5704
1,174,-1.435,22.774,0.183,17.2171,17.7329,18.6057,20.3276,22.774,26.0879,30.3118,33.7751,36.6058
1,180,-1.435,23.32,0.184,17.6077,18.1372,19.0335,20.803,23.32,26.7353,31.0986,34.6854,37.6233
1,186,-1.435,23.836,0.184,17.9973,18.5385,19.4547,21.2633,23.836,27.3269,31.7867,35.4528,38.4558
1,192,-1.435,24.319,0.184,18.362,18.9142,19.8489,21.6942,24.319,27.8806,32.4308,36.1712,39.2351
1,198,-1.435,24.767,0.183,18.7238,19.2847,20.234,22.1065,24.767,28.371,32.9644,36.7308,39.8092
1,204,-1.435,25.175,0.183,19.0322,19.6024,20.5673,22.4707,25.175,28.8383,33.5074,37.3359,40.465
1,210,-1.435,25.539,0.182,19.3318,19.9087,20.8847,22.8086,25.539,29.2313,33.9264,37.7665,40.8983
1,216,-1.435,25.859,0.182,19.574,20.1582,21.1464,23.0944,25.859,29.5976,34.3515,38.2397,41.4107
1,222,-1.435,26.14,0.181,19.8117,20.4007,21.3967,23.3588,26.14,29.8948,34.6581,38.5441,41.7066
1,228,-1.435,26.388,0.181,19.9997,20.5943,21.5997,23.5804,26.388,30.1784,34.9869,38.9098,42.1023
1,234,-1.435,26.611,0.181,20.1687,20.7683,21.7822,23.7797,26.611,30.4334,35.2825,39.2386,42.4581
1,240,-1.435,26.814,0.18,20.3482,20.9509,21.9695,23.9748,26.814,30.6405,35.4836,39.4248,42.6254
2,24,-1.934,16.626,0.095,14.2606,14.5041,14.9041,15.6514,16.626,17.8032,19.1019,20.0259,20.7011
2,30,-1.922,16.689,0.096,14.2928,14.5392,14.9441,15.701,16.689,17.8839,19.204,20.1445,20.8324
2,36,-1.908,16.762,0.099,14.2932,14.5459,14.9617,15.7409,16.762,18.0031,19.3827,20.3712,21.0975
2,42,-1.894,16.837,0.101,14.3151,14.5725,14.9965,15.792,16.837,18.1109,19.5323,20.5542,21.3069
2,48,-1.878,16.921,0.103,14.3441,14.6064,15.0388,15.8514,16.921,18.2287,19.6927,20.7487,21.5284
2,54,-1.86,17.018,0.106,14.3636,14.6327,15.0768,15.9132,17.018,18.375,19.9027,21.0106,21.832
2,60,-1.839,17.13,0.109,14.3949,14.671,15.1273,15.9886,17.13,18.5379,20.1314,21.2928,22.1571
2,66,-1.815,17.257,0.113,14.4179,14.7031,15.1749,16.068,17.257,18.7323,20.4143,21.6487,22.5723
2,72,-1.789,17.402,0.117,14.455,14.7494,15.2374,16.1637,17.402,18.9472,20.7212,22.0319,23.0176
2,78,-1.759,17.568,0.122,14.4881,14.7939,15.3016,16.2685,17.568,19.2011,21.0925,22.5018,23.5687
2,84,-1.725,17.756,0.127,14.5371,14.8548,15.3832,16.3926,17.756,19.4805,21.4939,23.006,24.1576
2,90,-1.687,17.967,0.132,14.6022,14.9325,15.4826,16.5368,17.967,19.7867,21.9268,23.5454,24.7848
2,96,-1.646,18.2,0.138,14.6627,15.0076,15.5833,16.6901,18.2,20.1349,22.4309,24.1825,25.533
2,102,-1.602,18.456,0.144,14.738,15.0984,15.7008,16.8629,18.456,20.511,22.9692,24.8593,26.3254
