Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,1,3.861,35.904,0.027,33.9309,34.1967,34.5949,35.2324,35.904,36.5415,37.0892,37.4063,37.6081
1,2,3.861,37.374,0.027,35.3201,35.5968,36.0113,36.6749,37.374,38.0376,38.6077,38.9378,39.1479
1,3,3.861,38.776,0.027,36.645,36.9322,37.3622,38.0507,38.776,39.4645,40.056,40.3984,40.6164
1,4,3.861,40.036,0.027,37.8358,38.1322,38.5763,39.2871,40.036,40.7469,41.3576,41.7112,41.9362
1,5,3.861,41.058,0.027,38.8016,39.1056,39.561,40.29,41.058,41.787,42.4134,42.7759,43.0067
1,6,3.861,41.858,0.027,39.5576,39.8676,40.3318,41.075,41.858,42.6012,43.2398,43.6094,43.8447
1,7,3.861,42.465,0.027,40.1313,40.4457,40.9167,41.6707,42.465,43.219,43.8668,44.2418,44.4805
1,8,3.861,42.933,0.027,40.5736,40.8915,41.3676,42.1299,42.933,43.6953,44.3503,44.7294,44.9707
1,9,3.861,43.317,0.027,40.9365,41.2572,41.7376,42.5067,43.317,44.0861,44.7469,45.1294,45.373
1,10,3.861,43.645,0.027,41.2464,41.5696,42.0537,42.8286,43.645,44.4199,45.0858,45.4712,45.7165
1,11,3.861,43.924,0.027,41.5101,41.8354,42.3225,43.1024,43.924,44.7039,45.374,45.7618,46.0088
1,12,3.861,44.169,0.027,41.7416,42.0687,42.5586,43.3428,44.169,44.9532,45.6271,46.0171,46.2654
1,13,3.861,44.386,0.027,41.9467,42.2754,42.7676,43.5557,44.386,45.1741,45.8512,46.2432,46.4927
1,14,3.861,44.578,0.027,42.1282,42.4583,42.9526,43.7441,44.578,45.3695,46.0496,46.4432,46.6938
1,15,3.861,44.751,0.027,42.2917,42.623,43.1193,43.9139,44.751,45.5456,46.2283,46.6234,46.875
1,16,3.861,44.907,0.027,42.4391,42.7716,43.2696,44.067,44.907,45.7043,46.3894,46.786,47.0384
1,17,3.861,45.048,0.027,42.5723,42.9059,43.4055,44.2053,45.048,45.8478,46.5351,46.9329,47.1861
1,18,3.861,45.178,0.027,42.6952,43.0297,43.5308,44.3329,45.178,45.9801,46.6694,47.0683,47.3223
1,19,3.861,45.298,0.027,42.8086,43.144,43.6464,44.4507,45.298,46.1023,46.7933,47.1933,47.448
1,20,3.861,45.409,0.027,42.9135,43.2498,43.7533,44.5596,45.409,46.2152,46.908,47.309,47.5642
1,21,3.861,45.511,0.027,43.0099,43.3469,43.8516,44.6597,45.511,46.3191,47.0134,47.4152,47.6711
1,22,3.861,45.611,0.027,43.1044,43.4421,43.948,44.7578,45.611,46.4208,47.1167,47.5194,47.7758
1,23,3.861,45.715,0.027,43.2027,43.5412,44.0482,44.8599,45.715,46.5267,47.2241,47.6278,47.8848
1,24,3.861,45.826,0.027,43.3076,43.6469,44.1551,44.9688,45.826,46.6397,47.3388,47.7434,48.001
1,25,3.861,45.941,0.027,43.4163,43.7565,44.2659,45.0816,45.941,46.7567,47.4576,47.8632,48.1215
1,26,3.861,46.055,0.027,43.524,43.865,44.3758,45.1935,46.055,46.8727,47.5753,47.982,48.2409
1,27,3.861,46.159,0.027,43.6223,43.9641,44.476,45.2956,46.159,46.9786,47.6828,48.0903,48.3498
1,28,3.861,46.25,0.027,43.7083,44.0508,44.5637,45.3848,46.25,47.0712,47.7768,48.1852,48.4452
1,29,3.861,46.333,0.027,43.7867,44.1298,44.6437,45.4663,46.333,47.1557,47.8625,48.2716,48.5321
1,30,3.861,46.41,0.027,43.8595,44.2032,44.7178,45.5419,46.41,47.234,47.942,48.3518,48.6128
