Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,24,5.251,45.873,0.028,43.1306,43.517,44.0849,44.9696,45.873,46.7065,47.4062,47.8047,48.0562
1,30,5.383,46.361,0.028,43.5771,43.971,44.5489,45.4468,46.361,47.2024,47.9072,48.3083,48.5611
1,36,5.437,46.643,0.028,43.8371,44.2348,44.8178,45.7227,46.643,47.4891,48.1973,48.6,48.8538
1,42,5.456,46.846,0.029,43.9092,44.3279,44.9401,45.887,46.846,47.7248,48.4584,48.8748,49.137
1,48,5.455,47.075,0.029,44.1239,44.5447,45.1598,46.1113,47.075,47.9581,48.6953,49.1138,49.3773
1,54,5.421,47.41,0.029,44.4415,44.8642,45.4826,46.4398,47.41,48.2996,49.0427,49.4647,49.7304
1,60,5.329,47.847,0.029,44.8608,45.2848,45.9058,46.8688,47.847,48.7456,49.4972,49.9245,50.1937
1,66,5.17,48.286,0.029,45.2891,45.7124,46.3338,47.3005,48.286,49.1942,49.9557,50.3893,50.6627
1,72,4.963,48.661,0.029,45.6623,46.083,46.7024,47.67,48.661,49.5779,50.3494,50.7895,51.0675
1,78,4.761,48.917,0.029,45.9233,46.3405,46.9566,47.9229,48.917,49.8405,50.6199,51.0656,51.3474
1,84,4.586,49.093,0.03,45.99,46.4218,47.0599,48.0615,49.093,50.0522,50.8625,51.3261,51.6194
1,90,4.423,49.237,0.03,46.1425,46.5709,47.2052,48.2043,49.237,50.2005,51.0166,51.4845,51.7807
1,96,4.265,49.364,0.03,46.2784,46.7034,47.334,48.3304,49.364,50.3315,51.1531,51.6249,51.924
1,102,4.101,49.486,0.03,46.41,46.8315,47.4583,48.4516,49.486,50.4574,51.2846,51.7605,52.0625
1,108,3.951,49.592,0.03,46.5251,46.9433,47.5665,48.5571,49.592,50.5668,51.3992,51.8788,52.1835
1,114,3.798,49.693,0.03,46.6355,47.0505,47.6701,48.6577,49.693,50.6713,51.5087,51.9921,52.2995
1,120,3.617,49.808,0.03,46.7618,47.1729,47.7882,48.7723,49.808,50.7902,51.6336,52.1216,52.4323
1,126,3.379,49.952,0.03,46.9208,47.3269,47.9366,48.9159,49.952,50.9393,51.7906,52.2846,52.5995
1,132,3.059,50.137,0.03,47.1258,47.5255,48.1277,49.1006,50.137,51.1311,51.9929,52.495,52.8158
1,138,2.633,50.374,0.03,47.3891,47.7804,48.3729,49.3374,50.374,51.3769,52.253,52.7661,53.0949
1,144,2.105,50.651,0.03,47.6982,48.0796,48.6605,49.6144,50.651,51.6647,52.5586,53.0856,53.4248
1,150,1.49,50.955,0.031,47.9399,48.3232,48.9104,49.884,50.955,52.015,52.9601,53.5218,53.885
1,156,0.769,51.312,0.031,48.3406,48.7111,49.2829,50.2417,51.312,52.3875,53.3598,53.9437,54.3237
1,162,-0.032,51.717,0.031,48.7905,49.1481,49.7039,50.6472,51.717,52.8101,53.8143,54.4247,54.825
1,168,-0.814,52.094,0.031,49.2095,49.5553,50.0965,51.025,52.094,53.2043,54.2409,54.8789,55.3006
1,174,-1.501,52.4,0.031,49.5515,49.8876,50.4165,51.3322,52.4,53.5251,54.591,55.2547,55.6968
1,180,-2.063,52.636,0.031,49.8164,50.1449,50.664,51.5695,52.636,53.7731,54.8637,55.5496,56.0095
1,186,-2.554,52.842,0.031,50.0466,50.3689,50.8799,51.7765,52.842,53.9898,55.1026,55.8091,56.2855
1,192,-2.994,53.029,0.032,50.1742,50.4994,51.017,51.9314,53.029,54.2255,55.4008,56.155,56.6675
1,198,-3.355,53.183,0.032,50.346,50.6666,51.1783,52.0862,53.183,54.388,55.5819,56.354,56.8813
1,204,-3.64,53.306,0.032,50.4826,50.7998,51.3069,52.2098,53.306,54.5178,55.7269,56.5135,57.0531
1,210,-3.826,53.386,0.032,50.5713,50.8863,51.3906,52.2902,53.386,54.6023,55.8214,56.6178,57.1656
1,216,-3.902,53.419,0.032,50.6078,50.922,51.425,52.3234,53.419,54.6371,55.8604,56.6609,57.2121
1,222,-3.932,53.431,0.032,50.6212,50.935,51.4377,52.3355,53.431,54.6498,55.8747,56.6768,57.2294
1,228,-3.965,53.446,0.032,50.6377,50.9512,51.4533,52.3505,53.446,54.6656,55.8924,56.6962,57.2504
1,234,-3.995,53.459,0.032,50.6521,50.9652,51.4668,52.3636,53.459,54.6794,55.9077,56.7132,57.2688
1,240,-4.024,53.471,0.032,50.6655,50.9782,51.4794,52.3757,53.471,54.6921,55.922,56.7291,57.2859
2,24,1.852,45.441,0.028,42.9916,43.3053,43.7847,44.5758,45.441,46.2924,47.0474,47.4944,47.7827
2,30,1.852,45.674,0.028,43.212,43.5274,44.0092,44.8044,45.674,46.5298,47.2887,47.7379,48.0278
2,36,1.852,45.932,0.028,43.4561,43.7732,44.2578,45.0574,45.932,46.7926,47.5558,48.0076,48.299
2,42,1.852,46.19,0.029,43.6091,43.9399,44.4452,45.2789,46.19,47.0861,47.8803,48.3504,48.6535
2,48,1.852,46.445,0.029,43.8498,44.1825,44.6906,45.5288,46.445,47.346,48.1447,48.6173,48.9221
2,54,1.852,46.697,0.03,43.9954,44.342,44.8712,45.7438,46.697,47.6339,48.4639,48.9549,49.2715
2,60,1.852,46.945,0.03,44.2291,44.5775,45.1095,45.9867,46.945,47.8869,48.7213,49.2149,49.5332
2,66,1.852,47.189,0.03,44.4589,44.8092,45.344,46.2258,47.189,48.1358,48.9745,49.4707,49.7906
2,72,1.852,47.431,0.031,44.593,44.9574,45.5136,46.4303,47.431,48.4141,49.2845,49.7993,50.1311
2,78,1.852,47.669,0.031,44.8168,45.183,45.7419,46.6632,47.669,48.657,49.5318,50.0492,50.3827
2,84,1.852,47.905,0.032,44.9436,45.3241,45.9048,46.8613,47.905,48.9296,49.8365,50.3725,50.718
2,90,1.852,48.14,0.032,45.1641,45.5465,46.13,47.0912,48.14,49.1697,50.0809,50.6196,50.9668
2,96,1.852,48.372,0.033,45.2856,45.6825,46.288,47.2849,48.372,49.4387,50.3822,50.9397,51.299
2,102,1.852,48.604,0.033,45.5028,45.9016,46.51,47.5117,48.604,49.6758,50.6238,51.184,51.5451
2,108,1.852,48.832,0.033,45.7162,46.1169,46.7281,47.7346,48.832,49.9088,50.8613,51.4241,51.7869
2,114,1.852,49.056,0.034,45.8282,46.2437,46.8772,47.9198,49.056,50.1702,51.1553,51.7372,52.1121
2,120,1.852,49.273,0.034,46.031,46.4482,47.0845,48.1318,49.273,50.3921,51.3816,51.9661,52.3426
2,126,1.852,49.48,0.035,46.1256,46.5577,47.2164,48.2999,49.48,50.6366,51.6586,52.2621,52.6509
2,132,1.852,49.676,0.035,46.3084,46.7421,47.4034,48.4912,49.676,50.8372,51.8632,52.4691,52.8594
2,138,1.852,49.86,0.036,46.3802,46.8288,47.5125,48.6365,49.86,51.0584,52.1169,52.7417,53.1441
2,144,1.852,50.031,0.036,46.5393,46.9894,47.6754,48.8033,50.031,51.2335,52.2957,52.9226,53.3264
2,150,1.852,50.191,0.036,46.6881,47.1397,47.8279,48.9594,50.191,51.3974,52.4629,53.0918,53.4969
2,156,1.852,50.339,0.037,46.725,47.1913,47.9017,49.0691,50.339,51.5822,52.6797,53.3273,53.7442
2,162,1.852,50.477,0.037,46.8531,47.3206,48.033,49.2036,50.477,51.7236,52.8241,53.4735,53.8916
2,168,1.852,50.604,0.038,46.8695,47.3517,48.0861,49.2925,50.604,51.8872,53.0194,53.6872,54.1171
2,174,1.852,50.722,0.038,46.9788,47.4621,48.1983,49.4074,50.722,52.0082,53.143,53.8124,54.2433
2,180,1.852,50.83,0.038,47.0788,47.5632,48.3009,49.5126,50.83,52.1189,53.2562,53.927,54.3588
2,186,1.852,50.926,0.039,47.0654,47.5643,48.3239,49.571,50.926,52.2509,53.4194,54.1084,54.5519
2,192,1.852,51.011,0.039,47.1439,47.6437,48.4046,49.6537,51.011,52.3382,53.5086,54.1987,54.6429
2,198,1.852,51.083,0.04,47.1076,47.6218,48.4044,49.6886,51.083,52.4457,53.6469,54.355,54.8106
2,204,1.852,51.143,0.04,47.163,47.6777,48.4612,49.7469,51.143,52.5073,53.7099,54.4188,54.875
2,210,1.852,51.19,0.041,47.103,47.6321,48.4371,49.7573,51.19,52.5893,53.8222,54.5486,55.016
2,216,1.852,51.226,0.041,47.1362,47.6656,48.4711,49.7923,51.226,52.6263,53.86,54.587,55.0547
2,222,1.852,51.251,0.041,47.1592,47.6888,48.4948,49.8166,51.251,52.652,53.8863,54.6136,55.0816
2,228,1.852,51.267,0.042,47.0703,47.614,48.441,49.7967,51.267,52.7022,53.9661,54.7105,55.1894
2,234,1.852,51.278,0.042,47.0804,47.6242,48.4514,49.8074,51.278,52.7135,53.9777,54.7222,55.2012
2,240,1.852,51.285,0.043,46.983,47.5408,48.389,49.7787,51.285,52.7545,54.0479,54.8095,55.2993
