Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,24,0.453,81.511,0.044,74.9178,75.7283,76.9855,79.1116,81.511,83.9497,86.1783,87.5273,88.4095
1,30,0.453,84.522,0.045,77.5336,78.3922,79.7244,81.9779,84.522,87.1087,89.4734,90.9051,91.8416
1,36,0.453,87.222,0.046,79.8539,80.7587,82.1629,84.5387,87.222,89.9512,92.4469,93.9584,94.9472
1,42,0.453,89.966,0.046,82.3661,83.2994,84.7477,87.1983,89.966,92.781,95.3553,96.9143,97.9342
1,48,0.453,92.864,0.047,84.853,85.8363,87.3625,89.9456,92.864,95.8334,98.5498,100.1953,101.2719
1,54,0.453,96.039,0.047,87.7541,88.771,90.3494,93.0208,96.039,99.11,101.9192,103.621,104.7344
1,60,0.453,99.492,0.048,90.7312,91.806,93.4746,96.2994,99.492,102.7417,105.7154,107.5172,108.6963
1,66,0.453,103.057,0.048,93.9823,95.0956,96.824,99.75,103.057,106.4231,109.5034,111.3698,112.5912
1,72,0.453,106.618,0.048,97.2297,98.3815,100.1696,103.1967,106.618,110.1004,113.2871,115.218,116.4816
1,78,0.453,109.994,0.049,100.1118,101.3236,103.2052,106.3915,109.994,113.6622,117.02,119.0552,120.3872
1,84,0.453,113.134,0.049,102.9697,104.2161,106.1514,109.4287,113.134,116.9069,120.3606,122.4539,123.8239
1,90,0.453,116.108,0.049,105.6765,106.9557,108.9419,112.3053,116.108,119.9801,123.5246,125.6729,127.0789
1,96,0.453,118.903,0.049,108.2204,109.5304,111.5643,115.0087,118.903,122.8683,126.4981,128.6981,130.138
1,102,0.453,121.473,0.049,110.5595,111.8978,113.9757,117.4946,121.473,125.524,129.2323,131.4798,132.9508
1,108,0.453,123.774,0.049,112.6538,114.0174,116.1347,119.7202,123.774,127.9017,131.6803,133.9704,135.4692
1,114,0.453,125.896,0.049,114.5852,115.9722,118.1257,121.7727,125.896,130.0945,133.9378,136.2672,137.7917
1,120,0.453,127.967,0.049,116.4701,117.8799,120.0689,123.7759,127.967,132.2346,136.1411,138.5088,140.0584
