Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,1,0.453,52.632,0.039,48.8487,49.3148,50.0373,51.2575,52.632,54.0265,55.2986,56.0677,56.5702
1,2,0.453,55.065,0.04,51.0074,51.5071,52.2818,53.5903,55.065,56.5616,57.9274,58.7533,59.2931
1,3,0.453,57.45,0.04,53.2167,53.738,54.5462,55.9115,57.45,59.0114,60.4364,61.298,61.8612
1,4,0.453,59.745,0.04,55.3425,55.8847,56.7252,58.145,59.745,61.3688,62.8507,63.7468,64.3324
1,5,0.453,61.904,0.04,57.3425,57.9042,58.7751,60.2462,61.904,63.5865,65.1219,66.0504,66.6572
1,6,0.453,63.894,0.041,59.0706,59.6644,60.5849,62.1404,63.894,65.6743,67.2995,68.2826,68.9252
1,7,0.453,65.702,0.041,60.7421,61.3527,62.2993,63.8988,65.702,67.5327,69.2039,70.2148,70.8756
1,8,0.453,67.329,0.041,62.2463,62.872,63.842,65.4811,67.329,69.205,70.9176,71.9535,72.6307
1,9,0.453,68.783,0.041,63.5906,64.2297,65.2207,66.8952,68.783,70.6995,72.4491,73.5074,74.1992
1,10,0.453,70.09,0.042,64.6727,65.3392,66.3728,68.1198,70.09,72.0909,73.9182,75.0238,75.7466
1,11,0.453,71.276,0.042,65.767,66.4448,67.4959,69.2725,71.276,73.3108,75.169,76.2933,77.0283
1,12,0.453,72.364,0.042,66.7709,67.4591,68.5262,70.3299,72.364,74.4299,76.3164,77.4578,78.2041
1,13,0.453,73.375,0.042,67.7038,68.4015,69.4836,71.3125,73.375,75.4697,77.3827,78.54,79.2967
1,14,0.453,74.328,0.043,68.4494,69.1723,70.2937,72.1893,74.328,76.5009,78.4858,79.687,80.4725
1,15,0.453,75.231,0.043,69.281,70.0127,71.1476,73.0664,75.231,77.4303,79.4393,80.6551,81.4502
1,16,0.453,76.086,0.043,70.0684,70.8084,71.9562,73.8968,76.086,78.3102,80.3422,81.5718,82.3758
1,17,0.453,76.897,0.043,70.8152,71.5632,72.7232,74.6844,76.897,79.145,81.1985,82.4413,83.2539
1,18,0.453,77.664,0.043,71.5216,72.2769,73.4486,75.4294,77.664,79.9344,82.0084,83.2636,84.0843
1,19,0.453,78.391,0.044,72.0502,72.8296,74.0387,76.0834,78.391,80.7364,82.8796,84.177,85.0254
1,20,0.453,79.079,0.044,72.6826,73.4688,74.6885,76.7512,79.079,81.4449,83.607,84.9158,85.7717
1,21,0.453,79.73,0.044,73.2809,74.0736,75.3034,77.383,79.73,82.1154,84.2953,85.6148,86.4778
1,22,0.453,80.35,0.044,73.8507,74.6496,75.889,77.9847,80.35,82.754,84.9508,86.2806,87.1502
1,23,0.453,80.942,0.044,74.3949,75.1996,76.4481,78.5593,80.942,83.3637,85.5767,86.9163,87.7923
1,24,0.453,81.511,0.044,74.9178,75.7283,76.9855,79.1116,81.511,83.9497,86.1783,87.5273,88.4095
