Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,0.576,3.177,0.151,2.3299,2.43,2.5877,2.8605,3.177,3.5075,3.8168,4.0071,4.1328
1,1,0.559,3.867,0.148,2.8574,2.9767,3.1645,3.4895,3.867,4.2615,4.6309,4.8584,5.0088
1,2,0.542,4.562,0.146,3.3887,3.5271,3.7452,4.1229,4.562,5.0213,5.452,5.7174,5.8929
1,3,0.526,5.247,0.144,3.9176,4.0743,4.3212,4.7491,5.247,5.7683,6.2575,6.5593,6.7589
1,4,0.511,5.903,0.141,4.4393,4.6117,4.8835,5.3547,5.903,6.4774,7.0167,7.3496,7.5697
1,5,0.496,6.504,0.139,4.9156,5.1026,5.3974,5.9086,6.504,7.1282,7.7146,8.0768,8.3164
1,6,0.482,7.036,0.138,5.3322,5.5325,5.8485,6.3969,7.036,7.7067,8.3375,8.7272,8.9853
1,7,0.469,7.5,0.136,5.7112,5.9214,6.2531,6.8287,7.5,8.2048,8.8679,9.2778,9.5494
1,8,0.457,7.902,0.135,6.0329,6.2524,6.5988,7.2002,7.902,8.6394,9.3337,9.7631,10.0477
1,9,0.446,8.251,0.134,6.3154,6.5425,6.9011,7.5239,8.251,9.0155,9.7357,10.1815,10.4769
1,10,0.436,8.559,0.133,6.5674,6.801,7.1698,7.8105,8.559,9.3463,10.0885,10.548,10.8526
1,11,0.427,8.834,0.132,6.7949,7.034,7.4114,8.0675,8.834,9.6407,10.4014,10.8726,11.185
1,12,0.419,9.084,0.131,7.0039,7.2477,7.6326,8.3019,9.084,9.9073,10.6841,11.1653,11.4844
1,13,0.412,9.315,0.131,7.1837,7.4334,7.8276,8.5132,9.315,10.1595,10.9568,11.4509,11.7787
1,14,0.405,9.531,0.13,7.3675,7.6208,8.021,8.717,9.531,10.3886,11.1984,11.7004,12.0335
1,15,0.399,9.735,0.13,7.5267,7.7852,8.1934,8.9038,9.735,10.6112,11.439,11.9523,12.293
1,16,0.393,9.928,0.13,7.6775,7.9407,8.3566,9.0805,9.928,10.8218,11.6666,12.1908,12.5387
1,17,0.388,10.112,0.129,7.8374,8.1035,8.5238,9.2554,10.112,11.0154,11.8693,12.3991,12.7508
1,18,0.383,10.288,0.129,7.9752,8.2455,8.6728,9.4167,10.288,11.2073,12.0767,12.6162,12.9744
1,19,0.378,10.457,0.129,8.1075,8.382,8.8159,9.5716,10.457,11.3916,12.2758,12.8248,13.1893
1,20,0.373,10.62,0.129,8.2353,8.5138,8.954,9.721,10.62,11.5694,12.468,13.026,13.3966
1,21,0.369,10.777,0.129,8.3581,8.6405,9.0869,9.8648,10.777,11.7406,12.6529,13.2196,13.5961
1,22,0.365,10.93,0.129,8.4779,8.764,9.2165,10.0051,10.93,11.9075,12.8332,13.4084,13.7906
1,23,0.361,11.08,0.129,8.5954,8.8852,9.3435,10.1425,11.08,12.0711,13.01,13.5935,13.9813
1,24,0.357,11.227,0.129,8.7106,9.004,9.468,10.2772,11.227,12.2314,13.1832,13.775,14.1683
1,25,0.353,11.371,0.129,8.8235,9.1204,9.59,10.4092,11.371,12.3885,13.353,13.9528,14.3515
1,26,0.349,11.513,0.129,8.9349,9.2352,9.7104,10.5394,11.513,12.5434,13.5205,14.1282,14.5323
1,27,0.346,11.652,0.129,9.0437,9.3474,9.8281,10.6668,11.652,12.6949,13.6842,14.2997,14.7089
1,28,0.342,11.789,0.129,9.1512,9.4583,9.9442,10.7923,11.789,12.8444,13.8458,14.469,14.8834
1,29,0.339,11.922,0.129,9.2554,9.5657,10.0568,10.9142,11.922,12.9894,14.0025,14.6331,15.0525
1,30,0.335,12.053,0.129,9.3583,9.6717,10.1679,11.0343,12.053,13.1324,14.1571,14.7951,15.2195
1,31,0.332,12.182,0.129,9.4594,9.776,10.2772,11.1526,12.182,13.273,14.3092,14.9544,15.3836
1,32,0.328,12.308,0.13,9.539,9.8606,10.3701,11.2603,12.308,13.4193,14.4755,15.1336,15.5715
1,33,0.325,12.432,0.13,9.636,9.9607,10.475,11.3738,12.432,13.5547,14.6219,15.287,15.7297
1,34,0.322,12.554,0.13,9.7316,10.0592,10.5783,11.4856,12.554,13.6878,14.766,15.438,15.8853
1,35,0.319,12.674,0.13,9.8256,10.1561,10.6799,11.5955,12.674,13.8188,14.9077,15.5865,16.0385
1,36,0.316,12.794,0.13,9.9196,10.2531,10.7815,11.7055,12.794,13.9498,15.0494,15.7351,16.1916
2,0,0.192,3.069,0.145,2.3192,2.4042,2.5399,2.7805,3.069,3.3813,3.6838,3.875,4.0035
2,1,0.131,3.623,0.144,2.7499,2.8482,3.0056,3.2856,3.623,3.9901,4.3477,4.5748,4.7277
2,2,0.071,4.171,0.143,3.1791,3.2902,3.4684,3.7862,4.171,4.5918,5.004,5.2668,5.4443
2,3,0.012,4.706,0.143,3.5947,3.7184,3.9172,4.2731,4.706,5.1822,5.6514,5.952,6.1556
2,4,-0.045,5.22,0.142,4.0029,4.1377,4.3547,4.7442,5.22,5.7459,6.2666,6.6015,6.8291
2,5,-0.1,5.706,0.141,4.392,4.5369,4.7704,5.1907,5.706,6.2782,6.8474,7.2151,7.4655
2,6,-0.152,6.161,0.141,4.7505,4.9053,5.1551,5.6059,6.161,6.7804,7.3999,7.8018,8.0762
2,7,-0.201,6.582,0.141,5.0834,5.247,5.5115,5.9903,6.582,7.2454,7.9122,8.3465,8.644
2,8,-0.248,6.968,0.14,5.3992,5.5699,5.8462,6.347,6.968,7.6667,8.3717,8.8326,9.1489
2,9,-0.291,7.323,0.14,5.682,5.8599,6.148,6.6716,7.323,8.0588,8.8047,9.2941,9.6308
2,10,-0.331,7.648,0.14,5.9416,6.1259,6.4247,6.9689,7.648,8.4181,9.2019,9.7179,10.0739
2,11,-0.368,7.947,0.14,6.181,6.371,6.6796,7.2425,7.947,8.7487,9.5679,10.1089,10.483
2,12,-0.402,8.223,0.14,6.4022,6.5976,6.915,7.4951,8.223,9.054,9.9061,10.4707,10.8618
