Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,24,0.357,11.227,0.129,8.7106,9.004,9.468,10.2772,11.227,12.2314,13.1832,13.775,14.1683
1,30,0.335,12.053,0.129,9.3583,9.6717,10.1679,11.0343,12.053,13.1324,14.1571,14.7951,15.2195
1,36,0.316,12.794,0.13,9.9196,10.2531,10.7815,11.7055,12.794,13.9498,15.0494,15.7351,16.1916
1,42,0.296,13.54,0.132,10.4624,10.8183,11.3828,12.3718,13.54,14.7837,15.97,16.7112,17.2053
1,48,0.272,14.421,0.134,11.1073,11.489,12.0953,13.1599,14.421,15.7679,17.0564,17.8632,18.4018
1,54,0.244,15.519,0.138,11.869,12.2871,12.9524,14.1245,15.519,17.0151,18.4527,19.3558,19.9599
1,60,0.211,16.788,0.143,12.7277,13.1894,13.9261,15.2292,16.788,18.47,20.095,21.1202,21.8077
1,66,0.177,18.144,0.149,13.6115,14.1227,14.9407,16.3943,18.144,20.0445,21.8923,23.0636,23.8516
1,72,0.141,19.51,0.157,14.4301,14.9972,15.9079,17.5356,19.51,21.6724,23.7915,25.143,26.0555
1,78,0.105,20.845,0.165,15.2049,15.8279,16.8319,18.6374,20.845,23.2838,25.694,27.2409,28.2897
1,84,0.069,22.176,0.174,15.9268,16.609,17.7128,19.7109,22.176,24.9257,27.6687,29.4421,30.6499
1,90,0.031,23.598,0.184,16.6636,17.4106,18.6247,20.8388,23.598,26.7098,29.8478,31.8936,33.2943
1,96,-0.009,25.116,0.194,17.4481,18.2627,19.5928,22.0372,25.116,28.6294,32.2141,34.5727,36.1971
1,102,-0.051,26.684,0.204,18.2486,19.1318,20.5807,23.265,26.684,30.6351,34.718,37.4317,39.3128
1,108,-0.094,28.231,0.213,19.052,19.9996,21.5612,24.4766,28.231,32.6246,37.224,40.313,42.4687
1,114,-0.138,29.758,0.222,19.8291,20.8394,22.5117,25.6588,29.758,34.619,39.779,43.2837,45.7479
1,120,-0.184,31.328,0.23,20.6617,21.7319,23.5111,26.8846,31.328,36.6679,42.4176,46.3694,49.1699
1,126,-0.233,32.985,0.237,21.5843,22.7127,24.5962,28.1939,32.985,38.8209,45.1985,49.6371,52.8093
1,132,-0.286,34.775,0.243,22.632,23.818,25.8052,29.6281,34.775,41.1311,48.1859,53.1623,56.7519
1,138,-0.343,36.77,0.247,23.8939,25.1367,27.226,31.2703,36.77,43.6512,51.4065,56.952,60.9907
1,144,-0.404,39.001,0.25,25.358,26.66,28.8556,33.1307,39.001,46.4431,54.9648,61.1473,65.6969
1,150,-0.468,41.506,0.25,27.1357,28.4957,30.7937,35.2878,41.506,49.4759,58.7302,65.5337,70.5896
1,156,-0.535,44.301,0.247,29.2566,30.6727,33.0685,37.7664,44.301,52.7468,62.6664,70.0426,75.5723
1,162,-0.602,47.266,0.242,31.6117,33.0811,35.5679,40.4511,47.266,56.1263,66.6247,74.5042,80.4549
