Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,22.4286,1.5,19.734,0.071,17.0019,17.3562,17.8949,18.7773,19.734,20.6681,21.4911,21.9761,22.2883
1,23.4286,1.5,20.875,0.069,18.0695,18.4329,18.9857,19.8918,20.875,21.8356,22.6823,23.1816,23.503
1,24.4286,1.5,22.017,0.067,19.1469,19.5183,20.0834,21.0104,22.017,23.0011,23.869,24.381,24.7107
1,25.4286,1.5,23.094,0.065,20.1765,20.5537,21.1278,22.0701,23.094,24.0957,24.9798,25.5014,25.8374
1,26.4286,1.5,24.172,0.063,21.2155,21.5973,22.1787,23.1336,24.172,25.1885,26.0862,26.6161,26.9574
1,27.4286,1.5,25.249,0.061,22.2621,22.6474,23.2344,24.1992,25.249,26.2774,27.1861,27.7227,28.0685
1,28.4286,1.5,26.327,0.06,23.2652,23.66,24.2616,25.2505,26.327,27.3819,28.3143,28.865,29.2199
1,29.4286,1.5,27.2,0.058,24.1454,24.5389,25.1387,26.1252,27.2,28.2539,29.186,29.7367,30.0916
1,30.4286,1.5,28.074,0.056,25.0332,25.4245,26.0212,27.0033,28.074,29.1246,30.0543,30.6038,30.958
1,31.4286,1.5,28.947,0.055,25.8693,26.2651,26.8689,27.8629,28.947,30.0111,30.953,31.5098,31.8688
1,32.4286,1.5,29.821,0.053,26.7689,27.1611,27.7594,28.7452,29.821,30.8777,31.8136,32.3671,32.7241
1,33.4286,1.5,30.569,0.052,27.501,27.895,28.4963,29.4872,30.569,31.632,32.5736,33.1307,33.49
1,34.4286,1.5,31.317,0.051,28.236,28.6315,29.2352,30.2302,31.317,32.3852,33.3318,33.8919,34.2532
1,35.4286,1.5,32.065,0.05,28.9739,29.3705,29.9759,30.9743,32.065,33.1375,34.0881,34.6507,35.0136
1,36.4286,1.5,32.812,0.049,29.7138,30.1111,30.7178,31.7184,32.812,33.8877,34.8414,35.406,35.7702
1,37.4286,1.5,33.421,0.049,30.2652,30.6699,31.2879,32.3071,33.421,34.5166,35.4881,36.0631,36.4341
1,38.4286,1.5,34.031,0.049,30.8176,31.2297,31.859,32.8968,34.031,35.1466,36.1358,36.7213,37.0991
1,39.4286,1.5,34.64,0.049,31.3691,31.7886,32.4291,33.4855,34.64,35.7756,36.7825,37.3785,37.763
1,40.4286,1.5,35.232,0.048,31.9748,32.3923,33.0299,34.0819,35.232,36.3636,37.3672,37.9615,38.3449
1,41.4286,1.5,35.842,0.047,32.5992,33.0146,33.6492,34.6966,35.842,36.9694,37.9696,38.5619,38.9442
1,42.4286,1.5,36.421,0.045,33.2693,33.6727,34.2891,35.307,36.421,37.5182,38.4922,39.0693,39.4417
1,43.4286,1.5,37.023,0.044,33.892,34.2925,34.9047,35.9159,37.023,38.1138,39.0823,39.6562,40.0267
1,44.4286,1.5,37.578,0.043,34.4739,34.8708,35.4776,36.4801,37.578,38.6601,39.6213,40.1909,40.5587
1,45.4286,1.5,38.027,0.041,35.035,35.4172,36.0017,36.968,38.027,39.0715,39.9997,40.5501,40.9056
1,46.4286,1.5,38.45,0.04,35.5,35.8767,36.4528,37.4055,38.45,39.4805,40.3966,40.9399,41.2908
1,47.4286,1.5,38.833,0.039,35.9296,36.3001,36.867,37.8047,38.833,39.8479,40.7504,41.2858,41.6316
1,48.4286,1.5,39.188,0.039,36.2581,36.632,37.204,38.1503,39.188,40.2122,41.1229,41.6632,42.0122
1,49.4286,1.5,39.547,0.039,36.5902,36.9676,37.5449,38.4997,39.547,40.5806,41.4997,42.0449,42.3971
1,50.4286,1.5,39.805,0.038,36.9067,37.2764,37.8421,38.7781,39.805,40.8188,41.7206,42.2556,42.6013
2,22.4286,1.5,19.734,0.071,17.0019,17.3562,17.8949,18.7773,19.734,20.6681,21.4911,21.9761,22.2883
2,23.4286,1.5,20.875,0.069,18.0695,18.4329,18.9857,19.8918,20.875,21.8356,22.6823,23.1816,23.503
2,24.4286,1.5,22.017,0.067,19.1469,19.5183,20.0834,21.0104,22.017,23.0011,23.869,24.381,24.7107
2,25.4286,1.5,23.094,0.065,20.1765,20.5537,21.1278,22.0701,23.094,24.0957,24.9798,25.5014,25.8374
2,26.4286,1.5,24.172,0.063,21.2155,21.5973,22.1787,23.1336,24.172,25.1885,26.0862,26.6161,26.9574
2,27.4286,1.5,25.249,0.061,22.2621,22.6474,23.2344,24.1992,25.249,26.2774,27.1861,27.7227,28.0685
2,28.4286,1.5,26.327,0.06,23.2652,23.66,24.2616,25.2505,26.327,27.3819,28.3143,28.865,29.2199
2,29.4286,1.5,27.2,0.058,24.1454,24.5389,25.1387,26.1252,27.2,28.2539,29.186,29.7367,30.0916
2,30.4286,1.5,28.074,0.056,25.0332,25.4245,26.0212,27.0033,28.074,29.1246,30.0543,30.6038,30.958
2,31.4286,1.5,28.947,0.055,25.8693,26.2651,26.8689,27.8629,28.947,30.0111,30.953,31.5098,31.8688
2,32.4286,1.5,29.821,0.053,26.7689,27.1611,27.7594,28.7452,29.821,30.8777,31.8136,32.3671,32.7241
