Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,22.4286,1,28.72,0.079,24.4527,24.988,25.8123,27.1897,28.72,30.2503,31.6277,32.452,32.9873
1,23.4286,1,30.303,0.076,25.9715,26.5149,27.3516,28.7496,30.303,31.8564,33.2544,34.0911,34.6345
1,24.4286,1,31.893,0.073,27.5142,28.0635,28.9093,30.3227,31.893,33.4633,34.8767,35.7225,36.2718
1,25.4286,1,33.372,0.071,28.9156,29.4747,30.3355,31.7739,33.372,34.9701,36.4085,37.2693,37.8284
1,26.4286,1,34.851,0.069,30.3282,30.8956,31.7692,33.229,34.851,36.473,37.9328,38.8064,39.3738
1,27.4286,1,36.33,0.067,31.7519,32.3262,33.2106,34.6882,36.33,37.9718,39.4494,40.3338,40.9081
1,28.4286,1,37.809,0.065,33.1868,33.7666,34.6595,36.1514,37.809,39.4666,40.9585,41.8514,42.4312
1,29.4286,1,39.103,0.063,34.4697,35.0509,35.9459,37.4414,39.103,40.7646,42.2601,43.1551,43.7363
1,30.4286,1,40.398,0.06,35.8392,36.4111,37.2917,38.7631,40.398,42.0329,43.5043,44.3849,44.9568
1,31.4286,1,41.693,0.058,37.1449,37.7154,38.594,40.062,41.693,43.324,44.792,45.6706,46.2411
1,32.4286,1,42.987,0.056,38.4594,39.0274,39.902,41.3633,42.987,44.6107,46.072,46.9466,47.5146
1,33.4286,1,44.042,0.054,39.569,40.1301,40.9941,42.4379,44.042,45.6461,47.0899,47.9539,48.515
1,34.4286,1,45.098,0.051,40.7722,41.3148,42.1504,43.5467,45.098,46.6493,48.0456,48.8812,49.4238
1,35.4286,1,46.155,0.049,41.9014,42.435,43.2566,44.6296,46.155,47.6804,49.0534,49.875,50.4086
1,36.4286,1,47.212,0.047,43.0386,43.5621,44.3683,45.7153,47.212,48.7087,50.0557,50.8619,51.3854
1,37.4286,1,48.19,0.046,44.0208,44.5438,45.3491,46.6948,48.19,49.6852,51.0309,51.8362,52.3592
1,38.4286,1,49.168,0.045,45.0066,45.5287,46.3325,47.6757,49.168,50.6603,52.0035,52.8073,53.3294
1,39.4286,1,50.146,0.044,45.9962,46.5168,47.3184,48.6578,50.146,51.6342,52.9736,53.7752,54.2958
1,40.4286,1,51.114,0.043,46.9802,47.4988,48.2973,49.6315,51.114,52.5965,53.9307,54.7292,55.2478
1,41.4286,1,51.859,0.043,47.6649,48.1911,49.0012,50.3549,51.859,53.3631,54.7168,55.5269,56.0531
1,42.4286,1,52.693,0.043,48.4315,48.9661,49.7893,51.1647,52.693,54.2213,55.5967,56.4199,56.9545
1,43.4286,1,53.469,0.043,49.1447,49.6872,50.5225,51.9182,53.469,55.0198,56.4155,57.2508,57.7933
1,44.4286,1,54.238,0.042,49.9536,50.491,51.3186,52.7015,54.238,55.7745,57.1574,57.985,58.5224
1,45.4286,1,54.96,0.042,50.6185,51.1632,52.0018,53.4031,54.96,56.5169,57.9182,58.7568,59.3015
1,46.4286,1,55.681,0.042,51.2826,51.8343,52.684,54.1036,55.681,57.2584,58.678,59.5277,60.0794
1,47.4286,1,56.437,0.041,52.085,52.6309,53.4716,54.8763,56.437,57.9977,59.4024,60.2431,60.789
1,48.4286,1,57.103,0.041,52.6996,53.252,54.1026,55.5239,57.103,58.6821,60.1034,60.954,61.5064
1,49.4286,1,57.679,0.042,53.1227,53.6943,54.5744,56.045,57.679,59.313,60.7836,61.6637,62.2353
1,50.4286,1,58.301,0.041,53.8053,54.3692,55.2377,56.6887,58.301,59.9133,61.3643,62.2328,62.7967
2,22.4286,1,28.72,0.079,24.4527,24.988,25.8123,27.1897,28.72,30.2503,31.6277,32.452,32.9873
2,23.4286,1,30.303,0.076,25.9715,26.5149,27.3516,28.7496,30.303,31.8564,33.2544,34.0911,34.6345
2,24.4286,1,31.893,0.073,27.5142,28.0635,28.9093,30.3227,31.893,33.4633,34.8767,35.7225,36.2718
2,25.4286,1,33.372,0.071,28.9156,29.4747,30.3355,31.7739,33.372,34.9701,36.4085,37.2693,37.8284
2,26.4286,1,34.851,0.069,30.3282,30.8956,31.7692,33.229,34.851,36.473,37.9328,38.8064,39.3738
2,27.4286,1,36.33,0.067,31.7519,32.3262,33.2106,34.6882,36.33,37.9718,39.4494,40.3338,40.9081
2,28.4286,1,37.809,0.065,33.1868,33.7666,34.6595,36.1514,37.809,39.4666,40.9585,41.8514,42.4312
2,29.4286,1,39.103,0.063,34.4697,35.0509,35.9459,37.4414,39.103,40.7646,42.2601,43.1551,43.7363
2,30.4286,1,40.398,0.06,35.8392,36.4111,37.2917,38.7631,40.398,42.0329,43.5043,44.3849,44.9568
2,31.4286,1,41.693,0.058,37.1449,37.7154,38.594,40.062,41.693,43.324,44.792,45.6706,46.2411
2,32.4286,1,42.987,0.056,38.4594,39.0274,39.902,41.3633,42.987,44.6107,46.072,46.9466,47.5146
2,33.4286,1,44.042,0.054,39.569,40.1301,40.9941,42.4379,44.042,45.6461,47.0899,47.9539,48.515
2,34.4286,1,45.098,0.051,40.7722,41.3148,42.1504,43.5467,45.098,46.6493,48.0456,48.8812,49.4238
2,35.4286,1,46.155,0.049,41.9014,42.435,43.2566,44.6296,46.155,47.6804,49.0534,49.875,50.4086
2,36.4286,1,47.212,0.047,43.0386,43.5621,44.3683,45.7153,47.212,48.7087,50.0557,50.8619,51.3854
2,37.4286,1,48.19,0.046,44.0208,44.5438,45.3491,46.6948,48.19,49.6852,51.0309,51.8362,52.3592
2,38.4286,1,49.168,0.045,45.0066,45.5287,46.3325,47.6757,49.168,50.6603,52.0035,52.8073,53.3294
2,39.4286,1,50.146,0.044,45.9962,46.5168,47.3184,48.6578,50.146,51.6342,52.9736,53.7752,54.2958
2,40.4286,1,51.114,0.043,46.9802,47.4988,48.2973,49.6315,51.114,52.5965,53.9307,54.7292,55.2478
2,41.4286,1,51.859,0.043,47.6649,48.1911,49.0012,50.3549,51.859,53.3631,54.7168,55.5269,56.0531
2,42.4286,1,52.693,0.043,48.4315,48.9661,49.7893,51.1647,52.693,54.2213,55.5967,56.4199,56.9545
2,43.4286,1,53.469,0.043,49.1447,49.6872,50.5225,51.9182,53.469,55.0198,56.4155,57.2508,57.7933
2,44.4286,1,54.238,0.042,49.9536,50.491,51.3186,52.7015,54.238,55.7745,57.1574,57.985,58.5224
2,45.4286,1,54.96,0.042,50.6185,51.1632,52.0018,53.4031,54.96,56.5169,57.9182,58.7568,59.3015
2,46.4286,1,55.681,0.042,51.2826,51.8343,52.684,54.1036,55.681,57.2584,58.678,59.5277,60.0794
2,47.4286,1,56.437,0.041,52.085,52.6309,53.4716,54.8763,56.437,57.9977,59.4024,60.2431,60.789
2,48.4286,1,57.103,0.041,52.6996,53.252,54.1026,55.5239,57.103,58.6821,60.1034,60.954,61.5064
2,49.4286,1,57.679,0.042,53.1227,53.6943,54.5744,56.045,57.679,59.313,60.7836,61.6637,62.2353
2,50.4286,1,58.301,0.041,53.8053,54.3692,55.2377,56.6887,58.301,59.9133,61.3643,62.2328,62.7967
