Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,22.4286,1,0.481,0.156,0.3399,0.3576,0.3848,0.4304,0.481,0.5316,0.5772,0.6044,0.6221
1,23.4286,1,0.575,0.17,0.3912,0.4142,0.4497,0.5091,0.575,0.6409,0.7003,0.7358,0.7588
1,24.4286,1,0.67,0.183,0.4394,0.4683,0.5129,0.5873,0.67,0.7527,0.8271,0.8717,0.9006
1,25.4286,1,0.77,0.198,0.4833,0.5192,0.5746,0.6672,0.77,0.8728,0.9654,1.0208,1.0567
1,26.4286,1,0.877,0.212,0.5273,0.5712,0.6387,0.7516,0.877,1.0024,1.1153,1.1828,1.2267
1,27.4286,1,0.995,0.222,0.5796,0.6317,0.7119,0.846,0.995,1.144,1.2781,1.3583,1.4104
1,28.4286,1,1.128,0.228,0.6443,0.705,0.7984,0.9545,1.128,1.3015,1.4576,1.551,1.6117
1,29.4286,1,1.277,0.23,0.7246,0.7939,0.9006,1.0789,1.277,1.4751,1.6534,1.7601,1.8294
1,30.4286,1,1.446,0.228,0.8259,0.9037,1.0235,1.2236,1.446,1.6684,1.8685,1.9883,2.0661
1,31.4286,1,1.635,0.222,0.9523,1.038,1.1698,1.3902,1.635,1.8798,2.1002,2.232,2.3177
1,32.4286,1,1.846,0.211,1.1134,1.2053,1.3468,1.5833,1.846,2.1087,2.3452,2.4867,2.5786
1,33.4286,1,2.073,0.199,1.2971,1.3945,1.5443,1.7948,2.073,2.3512,2.6017,2.7515,2.8489
1,34.4286,1,2.309,0.186,1.5012,1.6026,1.7586,2.0193,2.309,2.5987,2.8594,3.0154,3.1168
1,35.4286,1,2.553,0.174,1.7175,1.8223,1.9837,2.2534,2.553,2.8526,3.1223,3.2837,3.3885
1,36.4286,1,2.796,0.162,1.9441,2.051,2.2155,2.4905,2.796,3.1015,3.3765,3.541,3.6479
1,37.4286,1,2.992,0.157,2.1085,2.2193,2.39,2.6752,2.992,3.3088,3.594,3.7647,3.8755
