Sex,X,P3,P5,P10,P50,P90,P95,P97
1,27,21.5,21.9,22.6,24.8,27.0,27.6,28.0
1,28,22.9,23.3,23.9,25.9,28.0,28.5,28.9
1,29,24.2,24.5,25.1,27.0,28.9,29.4,29.7
1,30,25.3,25.7,26.2,27.9,29.7,30.2,30.5
1,31,26.4,26.7,27.2,28.9,30.5,31.0,31.3
1,32,27.4,27.7,28.1,29.7,31.3,31.7,32.0
1,33,28.3,28.6,29.0,30.5,32.0,32.5,32.7
1,34,29.2,29.4,29.8,31.3,32.7,33.1,33.4
1,35,29.9,30.2,30.6,32.0,33.4,33.8,34.0
1,36,30.7,30.9,31.3,32.7,34.0,34.4,34.7
1,37,31.4,31.6,32.0,33.3,34.6,35.0,35.3
1,38,32.0,32.2,32.6,33.9,35.2,35.6,35.8
1,39,32.6,32.8,33.2,34.5,35.8,36.1,36.4
1,40,33.2,33.4,33.8,35.0,36.3,36.7,36.9
1,41,33.7,33.9,34.3,35.6,36.8,37.2,37.4
1,42,34.2,34.4,34.8,36.1,37.3,37.7,37.9
1,43,34.7,34.9,35.3,36.5,37.8,38.1,38.4
1,44,35.1,35.4,35.7,37.0,38.2,38.6,38.8
1,45,35.6,35.8,36.2,37.4,38.7,39.0,39.2
1,46,36.0,36.2,36.6,37.8,39.1,39.4,39.7
1,47,36.4,36.6,36.9,38.2,39.5,39.8,40.1
1,48,36.7,37.0,37.3,38.6,39.9,40.2,40.5
1,49,37.1,37.3,37.7,38.9,40.2,40.6,40.8
1,50,37.4,37.6,38.0,39.3,40.6,41.0,41.2
1,51,37.7,38.0,38.3,39.6,40.9,41.3,41.6
1,52,38.0,38.3,38.6,40.0,41.3,41.6,41.9
1,53,38.3,38.5,38.9,40.3,41.6,42.0,42.2
1,54,38.6,38.8,39.2,40.6,41.9,42.3,42.5
1,55,38.8,39.1,39.5,40.8,42.2,42.6,42.9
1,56,39.1,39.3,39.7,41.1,42.5,42.9,43.2
1,57,39.3,39.6,40.0,41.4,42.8,43.2,43.4
1,58,39.6,39.8,40.2,41.6,43.1,43.5,43.7
1,59,39.8,40.1,40.5,41.9,43.3,43.7,44.0
1,60,40.0,40.3,40.7,42.1,43.6,44.0,44.3
1,61,40.2,40.5,40.9,42.4,43.8,44.3,44.5
1,62,40.4,40.7,41.1,42.6,44.1,44.5,44.8
1,63,40.6,40.9,41.3,42.8,44.3,44.7,45.0
1,64,40.8,41.1,41.5,43.0,44.5,45.0,45.3
2,27,20.7,21.1,21.8,24.0,26.2,26.8,27.2
2,28,22.1,22.5,23.1,25.1,27.2,27.7,28.1
2,29,23.4,23.7,24.3,26.2,28.1,28.6,28.9
2,30,24.5,24.9,25.4,27.1,28.9,29.4,29.7
2,31,25.6,25.9,26.4,28.1,29.7,30.2,30.5
2,32,26.6,26.9,27.3,28.9,30.5,30.9,31.2
2,33,27.5,27.8,28.2,29.7,31.2,31.7,31.9
2,34,28.4,28.6,29.0,30.5,31.9,32.3,32.6
2,35,29.1,29.4,29.8,31.2,32.6,33.0,33.2
2,36,29.9,30.1,30.5,31.9,33.2,33.6,33.9
2,37,30.6,30.8,31.2,32.5,33.8,34.2,34.5
2,38,31.2,31.4,31.8,33.1,34.4,34.8,35.0
2,39,31.8,32.0,32.4,33.7,35.0,35.3,35.6
2,40,32.4,32.6,33.0,34.2,35.5,35.9,36.1
2,41,32.9,33.1,33.5,34.8,36.0,36.4,36.6
2,42,33.4,33.6,34.0,35.3,36.5,36.9,37.1
2,43,33.9,34.1,34.5,35.7,37.0,37.3,37.6
2,44,34.3,34.6,34.9,36.2,37.4,37.8,38.0
2,45,34.8,35.0,35.4,36.6,37.9,38.2,38.4
2,46,35.2,35.4,35.8,37.0,38.3,38.6,38.9
2,47,35.6,35.8,36.1,37.4,38.7,39.0,39.3
2,48,35.9,36.2,36.5,37.8,39.1,39.4,39.7
2,49,36.3,36.5,36.9,38.1,39.4,39.8,40.0
2,50,36.6,36.8,37.2,38.5,39.8,40.2,40.4
2,51,36.9,37.2,37.5,38.8,40.1,40.5,40.7
2,52,37.2,37.5,37.8,39.2,40.5,40.8,41.1
2,53,37.5,37.7,38.1,39.5,40.8,41.2,41.4
2,54,37.8,38.0,38.4,39.8,41.1,41.5,41.7
2,55,38.0,38.3,38.7,40.0,41.4,41.8,42.1
2,56,38.3,38.5,38.9,40.3,41.7,42.1,42.4
2,57,38.5,38.8,39.2,40.6,42.0,42.4,42.6
2,58,38.8,39.0,39.4,40.8,42.3,42.7,42.9
2,59,39.0,39.3,39.7,41.1,42.5,42.9,43.2
2,60,39.2,39.5,39.9,41.3,42.8,43.2,43.5
2,61,39.4,39.7,40.1,41.6,43.0,43.5,43.7
2,62,39.6,39.9,40.3,41.8,43.3,43.7,44.0
2,63,39.8,40.1,40.5,42.0,43.5,43.9,44.2
2,64,40.0,40.3,40.7,42.2,43.7,44.2,44.5
