Sex,X,P3,P5,P10,P50,P90,P95,P97
1,27,28.7,29.2,29.9,32.7,35.7,36.7,37.3
1,28,30.7,31.1,31.9,34.6,37.5,38.4,39.0
1,29,32.5,33.0,33.7,36.3,39.2,40.0,40.6
1,30,34.3,34.7,35.4,38.0,40.8,41.6,42.2
1,31,36.0,36.4,37.1,39.6,42.3,43.1,43.7
1,32,37.5,38.0,38.7,41.1,43.8,44.6,45.1
1,33,39.0,39.5,40.1,42.6,45.2,46.0,46.5
1,34,40.5,40.9,41.5,44.0,46.5,47.3,47.8
1,35,41.8,42.2,42.9,45.3,47.8,48.5,49.0
1,36,43.1,43.5,44.1,46.5,49.0,49.7,50.2
1,37,44.3,44.7,45.3,47.7,50.2,50.9,51.4
1,38,45.4,45.8,46.5,48.8,51.3,52.0,52.5
1,39,46.5,46.9,47.5,49.9,52.4,53.1,53.6
1,40,47.5,47.9,48.6,50.9,53.4,54.1,54.6
1,41,48.5,48.9,49.6,51.9,54.4,55.1,55.6
1,42,49.4,49.8,50.5,52.8,55.3,56.0,56.5
1,43,50.3,50.7,51.4,53.7,56.2,56.9,57.4
1,44,51.1,51.6,52.2,54.6,57.1,57.8,58.3
1,45,51.9,52.4,53.0,55.4,57.9,58.7,59.1
1,46,52.7,53.1,53.8,56.2,58.7,59.5,60.0
1,47,53.4,53.9,54.6,57.0,59.5,60.3,60.7
1,48,54.2,54.6,55.3,57.7,60.3,61.0,61.5
1,49,54.8,55.3,56.0,58.4,61.0,61.8,62.3
1,50,55.5,55.9,56.6,59.1,61.7,62.5,63.0
1,51,56.1,56.5,57.2,59.8,62.4,63.2,63.7
1,52,56.7,57.1,57.9,60.4,63.1,63.8,64.4
1,53,57.3,57.7,58.4,61.0,63.7,64.5,65.0
1,54,57.8,58.3,59.0,61.6,64.3,65.1,65.7
1,55,58.4,58.8,59.6,62.2,64.9,65.8,66.3
1,56,58.9,59.4,60.1,62.8,65.5,66.4,66.9
1,57,59.4,59.9,60.6,63.3,66.1,66.9,67.5
1,58,59.9,60.4,61.1,63.8,66.7,67.5,68.1
1,59,60.4,60.8,61.6,64.4,67.2,68.1,68.6
1,60,60.8,61.3,62.1,64.9,67.8,68.6,69.2
1,61,61.3,61.8,62.5,65.4,68.3,69.2,69.7
1,62,61.7,62.2,63.0,65.8,68.8,69.7,70.2
1,63,62.1,62.6,63.4,66.3,69.3,70.2,70.8
1,64,62.5,63.0,63.8,66.8,69.8,70.7,71.3
2,27,27.8,28.3,29.0,31.7,34.6,35.5,36.1
2,28,29.7,30.2,30.9,33.5,36.3,37.2,37.8
2,29,31.5,32.0,32.7,35.2,38.0,38.8,39.3
2,30,33.2,33.7,34.3,36.8,39.5,40.3,40.9
2,31,34.8,35.3,35.9,38.4,41.0,41.8,42.3
2,32,36.4,36.8,37.5,39.9,42.4,43.2,43.7
2,33,37.8,38.2,38.9,41.3,43.8,44.5,45.0
2,34,39.2,39.6,40.3,42.6,45.1,45.8,46.3
2,35,40.5,40.9,41.5,43.9,46.3,47.0,47.5
2,36,41.7,42.1,42.8,45.1,47.5,48.2,48.7
2,37,42.9,43.3,43.9,46.2,48.6,49.3,49.8
2,38,44.0,44.4,45.0,47.3,49.7,50.4,50.9
2,39,45.0,45.4,46.1,48.3,50.7,51.4,51.9
2,40,46.0,46.4,47.1,49.3,51.7,52.4,52.9
2,41,47.0,47.4,48.0,50.3,52.7,53.4,53.8
2,42,47.9,48.3,48.9,51.2,53.6,54.3,54.7
2,43,48.7,49.1,49.8,52.1,54.5,55.2,55.6
2,44,49.6,50.0,50.6,52.9,55.3,56.0,56.5
2,45,50.3,50.7,51.4,53.7,56.1,56.8,57.3
2,46,51.1,51.5,52.1,54.5,56.9,57.6,58.1
2,47,51.8,52.2,52.9,55.2,57.7,58.4,58.9
2,48,52.5,52.9,53.6,55.9,58.4,59.1,59.6
2,49,53.1,53.6,54.2,56.6,59.1,59.8,60.3
2,50,53.8,54.2,54.9,57.3,59.8,60.5,61.0
2,51,54.4,54.8,55.5,57.9,60.5,61.2,61.7
2,52,54.9,55.4,56.1,58.5,61.1,61.9,62.4
2,53,55.5,55.9,56.6,59.1,61.7,62.5,63.0
2,54,56.0,56.5,57.2,59.7,62.3,63.1,63.6
2,55,56.6,57.0,57.7,60.3,62.9,63.7,64.2
2,56,57.1,57.5,58.2,60.8,63.5,64.3,64.8
2,57,57.6,58.0,58.7,61.3,64.1,64.9,65.4
2,58,58.0,58.5,59.2,61.9,64.6,65.4,66.0
2,59,58.5,59.0,59.7,62.4,65.2,66.0,66.5
2,60,58.9,59.4,60.2,62.9,65.7,66.5,67.0
2,61,59.4,59.8,60.6,63.3,66.2,67.0,67.6
2,62,59.8,60.3,61.0,63.8,66.7,67.5,68.1
2,63,60.2,60.7,61.5,64.2,67.2,68.0,68.6
2,64,60.6,61.1,61.9,64.7,67.6,68.5,69.1
