Sex,X,P3,P5,P10,P50,P90,P95,P97
1,27,0.45,0.48,0.51,0.67,0.88,0.95,0.99
1,28,0.57,0.6,0.64,0.83,1.07,1.15,1.2
1,29,0.7,0.74,0.79,1.0,1.27,1.37,1.43
1,30,0.85,0.88,0.94,1.19,1.5,1.6,1.67
1,31,1.0,1.04,1.11,1.39,1.73,1.84,1.92
1,32,1.17,1.21,1.29,1.6,1.98,2.1,2.18
1,33,1.34,1.39,1.47,1.81,2.23,2.36,2.46
1,34,1.51,1.57,1.66,2.04,2.49,2.64,2.74
1,35,1.7,1.76,1.86,2.26,2.75,2.91,3.02
1,36,1.88,1.95,2.06,2.5,3.02,3.19,3.31
1,37,2.07,2.14,2.26,2.73,3.29,3.48,3.6
1,38,2.26,2.34,2.46,2.96,3.57,3.76,3.89
1,39,2.45,2.53,2.67,3.2,3.84,4.04,4.18
1,40,2.64,2.73,2.87,3.43,4.11,4.32,4.47
1,41,2.82,2.92,3.07,3.66,4.38,4.6,4.76
1,42,3.01,3.11,3.27,3.89,4.64,4.88,5.04
1,43,3.19,3.3,3.46,4.12,4.9,5.15,5.32
1,44,3.37,3.48,3.66,4.34,5.16,5.42,5.59
1,45,3.55,3.66,3.84,4.56,5.41,5.68,5.86
1,46,3.72,3.84,4.03,4.78,5.66,5.94,6.13
1,47,3.89,4.01,4.21,4.99,5.9,6.19,6.39
1,48,4.06,4.18,4.39,5.19,6.14,6.44,6.64
1,49,4.22,4.35,4.56,5.39,6.37,6.68,6.89
1,50,4.37,4.51,4.73,5.59,6.6,6.92,7.13
1,51,4.52,4.66,4.89,5.77,6.82,7.15,7.37
1,52,4.67,4.82,5.05,5.96,7.03,7.37,7.6
1,53,4.81,4.96,5.2,6.14,7.24,7.59,7.83
1,54,4.95,5.11,5.35,6.31,7.45,7.8,8.04
1,55,5.09,5.24,5.5,6.48,7.64,8.01,8.26
1,56,5.22,5.38,5.64,6.65,7.83,8.21,8.46
1,57,5.34,5.51,5.77,6.8,8.02,8.41,8.66
1,58,5.47,5.63,5.9,6.96,8.2,8.59,8.86
1,59,5.58,5.76,6.03,7.11,8.38,8.78,9.05
1,60,5.7,5.87,6.15,7.25,8.55,8.96,9.23
1,61,5.81,5.99,6.27,7.39,8.71,9.13,9.41
1,62,5.92,6.1,6.39,7.53,8.87,9.3,9.58
1,63,6.02,6.2,6.5,7.66,9.03,9.46,9.75
1,64,6.12,6.31,6.61,7.79,9.18,9.62,9.91
2,27,0.41,0.44,0.47,0.61,0.8,0.86,0.91
2,28,0.52,0.55,0.59,0.76,0.97,1.05,1.1
2,29,0.64,0.67,0.72,0.91,1.16,1.25,1.3
2,30,0.77,0.81,0.86,1.09,1.37,1.46,1.52
2,31,0.91,0.95,1.01,1.27,1.58,1.68,1.75
2,32,1.06,1.11,1.18,1.46,1.8,1.92,1.99
2,33,1.22,1.27,1.34,1.65,2.03,2.16,2.24
2,34,1.38,1.43,1.52,1.86,2.27,2.41,2.5
2,35,1.55,1.6,1.7,2.07,2.51,2.66,2.76
2,36,1.72,1.78,1.88,2.28,2.76,2.92,3.02
2,37,1.89,1.96,2.06,2.49,3.01,3.17,3.29
2,38,2.06,2.13,2.25,2.71,3.26,3.43,3.55
2,39,2.23,2.31,2.43,2.92,3.5,3.69,3.82
2,40,2.41,2.49,2.62,3.13,3.75,3.95,4.08
2,41,2.58,2.66,2.8,3.35,3.99,4.2,4.34
2,42,2.75,2.84,2.98,3.55,4.24,4.45,4.6
2,43,2.91,3.01,3.16,3.76,4.48,4.7,4.85
2,44,3.08,3.18,3.34,3.96,4.71,4.95,5.11
2,45,3.24,3.34,3.51,4.16,4.94,5.19,5.35
2,46,3.4,3.5,3.68,4.36,5.17,5.42,5.6
2,47,3.55,3.66,3.84,4.55,5.39,5.65,5.83
2,48,3.7,3.82,4.01,4.74,5.61,5.88,6.06
2,49,3.85,3.97,4.16,4.92,5.82,6.1,6.29
2,50,3.99,4.12,4.32,5.1,6.02,6.32,6.51
2,51,4.13,4.26,4.46,5.27,6.22,6.53,6.73
2,52,4.26,4.4,4.61,5.44,6.42,6.73,6.94
2,53,4.4,4.53,4.75,5.6,6.61,6.93,7.14
2,54,4.52,4.66,4.89,5.76,6.8,7.12,7.34
2,55,4.64,4.79,5.02,5.92,6.98,7.31,7.54
2,56,4.76,4.91,5.15,6.07,7.15,7.5,7.73
2,57,4.88,5.03,5.27,6.21,7.32,7.67,7.91
2,58,4.99,5.14,5.39,6.35,7.49,7.85,8.09
2,59,5.1,5.25,5.51,6.49,7.65,8.01,8.26
2,60,5.2,5.36,5.62,6.62,7.8,8.18,8.43
2,61,5.3,5.47,5.73,6.75,7.95,8.33,8.59
2,62,5.4,5.57,5.83,6.87,8.1,8.49,8.75
2,63,5.49,5.66,5.93,6.99,8.24,8.64,8.9
2,64,5.58,5.76,6.03,7.11,8.38,8.78,9.05
