Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,24,-0.6187,16.0189,0.0779,13.9227,14.1606,14.5399,15.2117,16.0189,16.8978,17.7577,18.3067,18.6782
1,25,-0.584,15.98,0.0779,13.8843,14.1225,14.5023,15.174,15.98,16.8559,17.7112,18.2565,18.625
1,26,-0.5497,15.9414,0.078,13.8437,14.0826,14.4632,15.1357,15.9414,16.8156,17.6676,18.2099,18.5761
1,27,-0.5166,15.9036,0.0781,13.804,14.0436,14.4249,15.0981,15.9036,16.7761,17.6249,18.1645,18.5285
1,28,-0.485,15.8667,0.0782,13.7653,14.0055,14.3876,15.0615,15.8667,16.7375,17.5834,18.1204,18.4822
1,29,-0.4552,15.8306,0.0783,13.7275,13.9682,14.3511,15.0256,15.8306,16.6999,17.543,18.0775,18.4374
1,30,-0.4274,15.7953,0.0784,13.6907,13.9319,14.3154,14.9906,15.7953,16.6631,17.5036,18.0358,18.3939
1,31,-0.4016,15.7606,0.0785,13.6547,13.8964,14.2804,14.9561,15.7606,16.6271,17.4651,17.9952,18.3515
1,32,-0.3782,15.7267,0.0787,13.6172,13.8596,14.2446,14.9215,15.7267,16.593,17.43,17.9589,18.3143
1,33,-0.3572,15.6934,0.0788,13.5831,13.8258,14.2112,14.8885,15.6934,16.5585,17.3934,17.9206,18.2746
1,34,-0.3388,15.661,0.079,13.5476,13.7909,14.1771,14.8554,15.661,16.5262,17.3604,17.8868,18.2402
1,35,-0.3231,15.6294,0.0791,13.5156,13.7592,14.1457,14.8241,15.6294,16.4936,17.3262,17.8513,18.2036
1,36,1.8637,15.9455,0.0665,13.8291,14.1096,14.5323,15.2158,15.9455,16.6474,17.2579,17.6146,17.8429
1,37,1.7284,15.9431,0.0672,13.8242,14.1026,14.5237,15.2081,15.9431,16.6542,17.2758,17.6402,17.8739
1,38,1.5969,15.9406,0.0679,13.819,14.0955,14.515,15.2002,15.9406,16.661,17.2938,17.666,17.9052
1,39,1.4694,15.9381,0.0686,13.8136,14.0882,14.5062,15.1924,15.9381,16.6678,17.3119,17.6921,17.9369
1,40,1.3456,15.9355,0.0692,13.811,14.0835,14.4995,15.1856,15.9355,16.6734,17.3281,17.7158,17.966
1,41,1.2257,15.9328,0.0699,13.8049,14.0757,14.4904,15.1775,15.9328,16.6801,17.3462,17.7421,17.9982
1,42,1.1096,15.9302,0.0706,13.7986,14.0679,14.4815,15.1696,15.9302,16.6868,17.3646,17.7689,18.0309
1,43,0.9972,15.9275,0.0712,13.795,14.0625,14.4744,15.1627,15.9275,16.6924,17.381,17.7931,18.0608
1,44,0.8886,15.9248,0.0719,13.7881,14.0543,14.4652,15.1546,15.9248,16.6991,17.3995,17.8202,18.094
1,45,0.7835,15.9222,0.0725,13.784,14.0485,14.458,15.1478,15.9222,16.7049,17.4162,17.8449,18.1246
1,46,0.6821,15.9195,0.0731,13.7795,14.0425,14.4506,15.1408,15.9195,16.7105,17.4328,17.8697,18.1553
1,47,0.5841,15.9169,0.0737,13.7747,14.0363,14.4432,15.1339,15.9169,16.7163,17.4496,17.8948,18.1863
1,48,0.4885,15.9165,0.0744,13.7689,14.0296,14.4359,15.128,15.9165,16.7255,17.4711,17.9253,18.2235
1,49,0.3966,15.9162,0.075,13.7657,14.0252,14.4305,15.1233,15.9162,16.7337,17.4907,17.9534,18.2578
1,50,0.3084,15.916,0.0757,13.7595,14.0182,14.4231,15.1176,15.916,16.7431,17.5125,17.9845,18.2957
1,51,0.2237,15.9158,0.0763,13.7557,14.0134,14.4175,15.1129,15.9158,16.7514,17.5322,18.0128,18.3304
1,52,0.1425,15.9156,0.0769,13.7516,14.0084,14.4118,15.1082,15.9156,16.7597,17.552,18.0413,18.3653
1,53,0.0647,15.9156,0.0775,13.7474,14.0033,14.4062,15.1037,15.9156,16.7682,17.5719,18.07,18.4005
1,54,-0.01,15.9156,0.0781,13.7428,13.9981,14.4005,15.0991,15.9156,16.7767,17.5919,18.0988,18.4359
1,55,-0.0815,15.9156,0.0788,13.7355,13.9903,14.3928,15.0935,15.9156,16.7863,17.6142,18.1306,18.4748
1,56,-0.15,15.9158,0.0793,13.7331,13.9871,14.3888,15.0901,15.9158,16.7939,17.6321,18.1567,18.5071
1,57,-0.2156,15.916,0.0799,13.7279,13.9814,14.3829,15.0856,15.916,16.8026,17.6523,18.1859,18.5429
1,58,-0.2784,15.9163,0.0805,13.7226,13.9756,14.377,15.0813,15.9163,16.8114,17.6727,18.2152,18.579
1,59,-0.3385,15.9167,0.0811,13.7171,13.9698,14.3711,15.077,15.9167,16.8202,17.6931,18.2447,18.6152
1,60,-0.3931,15.9217,0.0818,13.7125,13.9652,14.3673,15.0759,15.9217,16.8351,17.7207,18.2821,18.66
1,61,-0.4449,15.9268,0.0824,13.7101,13.9628,14.3652,15.076,15.9268,16.8488,17.7461,18.3164,18.7011
1,62,-0.4942,15.932,0.0831,13.7052,13.9581,14.3614,15.0751,15.932,16.8638,17.7739,18.3541,18.7462
1,63,-0.5409,15.9373,0.0838,13.7002,13.9534,14.3575,15.0742,15.9373,16.8789,17.8018,18.3919,18.7914
1,64,-0.5853,15.9426,0.0844,13.6974,13.9506,14.3553,15.0744,15.9426,16.8929,17.8273,18.4264,18.8328
1,65,-0.6274,15.948,0.0851,13.692,13.9456,14.3513,15.0736,15.948,16.9081,17.8554,18.4644,18.8782
1,66,-0.6673,15.9535,0.0857,13.6889,13.9427,14.3491,15.0738,15.9535,16.9222,17.881,18.4991,18.9198
1,67,-0.7053,15.9591,0.0863,13.6857,13.9397,14.3469,15.0742,15.9591,16.9364,17.9068,18.5339,18.9615
