Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,1,34.4618,0.0369,32.0701,32.3701,32.8321,33.6041,34.4618,35.3195,36.0915,36.5535,36.8535
1,1,1,37.2759,0.0313,35.0815,35.3568,35.7807,36.4889,37.2759,38.0629,38.7711,39.195,39.4703
1,2,1,39.1285,0.03,36.9207,37.1977,37.6241,38.3367,39.1285,39.9203,40.6329,41.0593,41.3363
1,3,1,40.5135,0.0292,38.2885,38.5676,38.9974,39.7156,40.5135,41.3114,42.0296,42.4594,42.7385
1,4,1,41.6317,0.0287,39.3845,39.6664,40.1005,40.8258,41.6317,42.4376,43.1629,43.597,43.8789
1,5,1,42.5576,0.0284,40.2844,40.5696,41.0087,41.7424,42.5576,43.3728,44.1065,44.5456,44.8308
1,6,1,43.3306,0.0282,41.0324,41.3207,41.7646,42.5064,43.3306,44.1548,44.8966,45.3405,45.6288
1,7,1,43.9803,0.028,41.6642,41.9547,42.4021,43.1497,43.9803,44.8109,45.5585,46.0059,46.2964
1,8,1,44.53,0.028,42.185,42.4791,42.9321,43.689,44.53,45.371,46.1279,46.5809,46.875
1,9,1,44.9998,0.0279,42.6385,42.9347,43.3908,44.153,44.9998,45.8466,46.6088,47.0649,47.3611
1,10,1,45.4051,0.0279,43.0225,43.3214,43.7816,44.5507,45.4051,46.2595,47.0286,47.4888,47.7877
1,11,1,45.7573,0.0279,43.3562,43.6574,44.1212,44.8962,45.7573,46.6184,47.3934,47.8572,48.1584
1,12,1,46.0661,0.0279,43.6488,43.9521,44.419,45.1992,46.0661,46.933,47.7132,48.1801,48.4834
1,13,1,46.3395,0.0279,43.9079,44.2129,44.6826,45.4675,46.3395,47.2115,47.9964,48.4661,48.7711
1,14,1,46.5844,0.0279,44.1399,44.4466,44.9188,45.7078,46.5844,47.461,48.25,48.7222,49.0289
1,15,1,46.806,0.0279,44.3499,44.658,45.1324,45.9252,46.806,47.6868,48.4796,48.954,49.2621
1,16,1,47.0088,0.028,44.5332,44.8438,45.322,46.121,47.0088,47.8966,48.6956,49.1738,49.4844
1,17,1,47.1962,0.028,44.7107,45.0225,45.5026,46.3049,47.1962,48.0875,48.8898,49.3699,49.6817
1,18,1,47.3711,0.028,44.8764,45.1894,45.6713,46.4765,47.3711,48.2657,49.0709,49.5528,49.8658
1,19,1,47.5357,0.028,45.0324,45.3464,45.83,46.638,47.5357,48.4334,49.2414,49.725,50.039
1,20,1,47.6919,0.0281,45.1714,45.4876,45.9744,46.788,47.6919,48.5958,49.4094,49.8962,50.2124
1,21,1,47.8408,0.0281,45.3124,45.6296,46.118,46.9341,47.8408,48.7475,49.5636,50.052,50.3692
1,22,1,47.9833,0.0281,45.4474,45.7655,46.2553,47.0739,47.9833,48.8927,49.7113,50.2011,50.5192
1,23,1,48.1201,0.0282,45.5679,45.8881,46.3811,47.2048,48.1201,49.0354,49.8591,50.3521,50.6723
1,24,1,48.2515,0.0282,45.6923,46.0134,46.5077,47.3337,48.2515,49.1693,49.9953,50.4896,50.8107
1,25,1,48.3777,0.0283,45.8027,46.1257,46.6231,47.4543,48.3777,49.3011,50.1323,50.6297,50.9527
1,26,1,48.4989,0.0283,45.9175,46.2413,46.7399,47.5732,48.4989,49.4246,50.2579,50.7565,51.0803
1,27,1,48.6151,0.0283,46.0275,46.3521,46.8519,47.6871,48.6151,49.5431,50.3783,50.8781,51.2027
1,28,1,48.7264,0.0284,46.1237,46.4502,46.953,47.793,48.7264,49.6598,50.4998,51.0026,51.3291
1,29,1,48.8331,0.0284,46.2247,46.5519,47.0558,47.8977,48.8331,49.7685,50.6104,51.1143,51.4415
1,30,1,48.9351,0.0285,46.3121,46.6411,47.1478,47.9944,48.9351,49.8758,50.7224,51.2291,51.5581
1,31,1,49.0327,0.0285,46.4044,46.7341,47.2418,48.0901,49.0327,49.9753,50.8236,51.3313,51.661
1,32,1,49.126,0.0286,46.4835,46.815,47.3254,48.1783,49.126,50.0737,50.9266,51.437,51.7685
1,33,1,49.2153,0.0286,46.568,46.9001,47.4114,48.2659,49.2153,50.1647,51.0192,51.5305,51.8626
1,34,1,49.3007,0.0286,46.6488,46.9815,47.4937,48.3497,49.3007,50.2517,51.1077,51.6199,51.9526
1,35,1,49.3826,0.0287,46.717,47.0514,47.5663,48.4267,49.3826,50.3385,51.1989,51.7138,52.0482
1,36,2.6606,49.8263,0.0321,46.6526,47.0705,47.7021,48.7275,49.8263,50.8863,51.8099,52.3498,52.6956
1,37,2.5227,49.89,0.0317,46.7684,47.1774,47.7968,48.8054,49.89,50.9398,51.8573,52.3948,52.7394
1,38,2.3873,49.9542,0.0314,46.8733,47.2752,47.8849,48.8803,49.9542,50.997,51.911,52.4474,52.7917
1,39,2.2545,50.019,0.031,46.9881,47.3817,47.9799,48.9591,50.019,51.0515,51.9588,52.4925,52.8354
1,40,2.1241,50.0842,0.0306,47.1022,47.4879,48.0749,49.0382,50.0842,51.1062,52.0067,52.5374,52.8788
1,41,1.9959,50.1499,0.0303,47.2059,47.5852,48.1633,49.1143,50.1499,51.1646,52.061,52.5902,52.931
1,42,1.8796,50.2081,0.03,47.301,47.6742,48.2439,49.1829,50.2081,51.2152,52.1069,52.6342,52.9742
1,43,1.7645,50.2665,0.0297,47.3957,47.763,48.3245,49.2517,50.2665,51.2659,52.1528,52.6781,53.0171
1,44,1.6508,50.3253,0.0294,47.4902,47.8518,48.4052,49.3208,50.3253,51.3169,52.1988,52.722,53.06
1,45,1.5382,50.3843,0.0292,47.5747,47.932,48.4794,49.3866,50.3843,51.3714,52.2512,52.774,53.112
1,46,1.3446,50.4352,0.029,47.6576,48.0091,48.5485,49.4453,50.4352,51.4184,52.2979,52.8217,53.161
1,47,1.1511,50.4863,0.0288,47.7402,48.0859,48.6176,49.5041,50.4863,51.4656,52.3446,52.8695,53.21
1,48,0.9577,50.5376,0.0287,47.8128,48.1543,48.6803,49.5597,50.5376,51.5163,52.3978,52.9257,53.2686
1,49,0.7644,50.5892,0.0285,47.8948,48.2309,48.7495,49.6189,50.5892,51.5639,52.4448,52.9737,53.3179
1,50,0.5712,50.6409,0.0283,47.9763,48.3072,48.8186,49.6782,50.6409,51.6115,52.4918,53.0217,53.367
1,51,0.3363,50.687,0.0282,48.0457,48.3719,48.8771,49.729,50.687,51.6572,52.5409,53.0745,53.4229
1,52,0.1,50.7331,0.0281,48.1147,48.4364,48.9354,49.7797,50.7331,51.7029,52.59,53.1274,53.479
1,53,-0.1374,50.7793,0.0281,48.1745,48.4928,48.9875,49.8272,50.7793,51.7522,52.646,53.1893,53.5455
1,54,-0.376,50.8255,0.028,48.243,48.5569,49.0458,49.878,50.8255,51.798,52.6953,53.2425,53.6021
1,55,-0.4655,50.8738,0.0279,48.3035,48.6154,49.1014,49.9295,50.8738,51.8445,52.7416,53.2894,53.6496
1,56,-0.5556,50.922,0.0279,48.3551,48.6659,49.1507,49.9776,50.922,51.8945,52.7947,53.3451,53.7073
1,57,-0.646,50.9703,0.0279,48.4067,48.7165,49.2,50.0258,50.9703,51.9445,52.8479,53.4009,53.7652
1,58,-0.7368,51.0185,0.0278,48.4671,48.7749,49.2555,50.0772,51.0185,51.991,52.8941,53.4477,53.8126
1,59,-0.828,51.0667,0.0278,48.5186,48.8254,49.3048,50.1253,51.0667,52.0409,52.9472,53.5035,53.8706
1,60,-0.7259,51.114,0.0278,48.5571,48.8656,49.3474,50.1708,51.114,52.0882,52.9927,53.5471,53.9125
1,61,-0.6237,51.1612,0.0278,48.5954,48.9057,49.3898,50.2163,51.1612,52.1353,53.0381,53.5906,53.9544
1,62,-0.5214,51.2084,0.0278,48.6337,48.9458,49.4323,50.2617,51.2084,52.1825,53.0835,53.6341,53.9963
1,63,-0.4189,51.2557,0.0278,48.6721,48.9859,49.4748,50.3073,51.2557,52.2297,53.129,53.6777,54.0384
1,64,-0.295,51.3024,0.0278,48.7084,49.0243,49.516,50.352,51.3024,52.2762,53.1731,53.7195,54.0782
1,65,-0.1709,51.3491,0.0278,48.7446,49.0627,49.5572,50.3967,51.3491,52.3226,53.2173,53.7613,54.1181
1,66,-0.0465,51.3959,0.0278,48.7808,49.101,49.5985,50.4416,51.3959,52.3691,53.2616,53.8033,54.1581
1,67,0.0779,51.4426,0.0278,48.8168,49.1392,49.6397,50.4863,51.4426,52.4156,53.3058,53.8451,54.1981
1,68,0.2026,51.4894,0.0278,48.8528,49.1775,49.6809,50.5311,51.4894,52.4621,53.3501,53.8872,54.2383
1,69,0.3581,51.5362,0.0278,48.8866,49.214,49.721,50.5757,51.5362,52.5084,53.3934,53.9275,54.2763
1,70,0.5139,51.583,0.0278,48.9202,49.2505,49.7612,50.6202,51.583,52.5546,53.4367,53.9679,54.3143
1,71,0.6699,51.6297,0.0278,48.9536,49.2867,49.8011,50.6646,51.6297,52.6008,53.4799,54.0083,54.3524
1,72,0.8262,51.6765,0.0278,48.987,49.323,49.8412,50.7091,51.6765,52.647,53.5232,54.0488,54.3906
2,0,1,33.8787,0.035,31.6485,31.9283,32.3591,33.0789,33.8787,34.6785,35.3983,35.8291,36.1089
2,1,1,36.5463,0.0321,34.3399,34.6167,35.0429,35.755,36.5463,37.3376,38.0497,38.4759,38.7527
2,2,1,38.2521,0.0317,35.9715,36.2576,36.6981,37.4342,38.2521,39.07,39.8061,40.2466,40.5327
2,3,1,39.5328,0.0314,37.1981,37.491,37.942,38.6955,39.5328,40.3701,41.1236,41.5746,41.8675
2,4,1,40.5817,0.0312,38.2003,38.4991,38.9591,39.7277,40.5817,41.4357,42.2043,42.6643,42.9631
