Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,1,49.8842,0.038,46.319,46.7662,47.4549,48.6056,49.8842,51.1628,52.3135,53.0022,53.4494
1,1,1,54.7244,0.0356,51.0603,51.5199,52.2277,53.4104,54.7244,56.0384,57.2211,57.9289,58.3885
1,2,1,58.4249,0.0342,54.6668,55.1383,55.8642,57.0772,58.4249,59.7726,60.9856,61.7115,62.183
1,3,1,61.4292,0.0333,57.5819,58.0645,58.8077,60.0495,61.4292,62.8089,64.0507,64.7939,65.2765
1,4,1,63.886,0.0326,59.9689,60.4603,61.2169,62.4813,63.886,65.2907,66.5551,67.3117,67.8031
1,5,1,65.9026,0.032,61.9362,62.4338,63.2,64.4802,65.9026,67.325,68.6052,69.3714,69.869
1,6,1,67.6236,0.0317,63.5918,64.0976,64.8764,66.1777,67.6236,69.0695,70.3708,71.1496,71.6554
1,7,1,69.1645,0.0314,65.0799,65.5923,66.3813,67.6997,69.1645,70.6293,71.9477,72.7367,73.2491
1,8,1,70.5994,0.0312,66.4566,66.9763,67.7765,69.1137,70.5994,72.0851,73.4223,74.2225,74.7422
1,9,1,71.9687,0.0312,67.7455,68.2753,69.0911,70.4542,71.9687,73.4832,74.8463,75.6621,76.1919
1,10,1,73.2812,0.0312,68.981,69.5205,70.3511,71.7391,73.2812,74.8233,76.2113,77.0419,77.5814
1,11,1,74.5388,0.0313,70.1508,70.7013,71.5489,72.9652,74.5388,76.1124,77.5287,78.3763,78.9268
1,12,1,75.7488,0.0314,71.2753,71.8365,72.7006,74.1445,75.7488,77.3531,78.797,79.6611,80.2223
1,13,1,76.9186,0.0315,72.3616,72.9332,73.8135,75.2844,76.9186,78.5528,80.0237,80.904,81.4756
1,14,1,78.0497,0.0317,73.3963,73.98,74.8789,76.3809,78.0497,79.7185,81.2205,82.1194,82.7031
1,15,1,79.1458,0.032,74.3824,74.9799,75.9001,77.4375,79.1458,80.8541,82.3915,83.3117,83.9092
1,16,1,80.2113,0.0322,75.3536,75.963,76.9013,78.4692,80.2113,81.9534,83.5213,84.4596,85.069
1,17,1,81.2487,0.0325,76.2823,76.9053,77.8647,79.4677,81.2487,83.0297,84.6327,85.5921,86.2151
1,18,1,82.2587,0.0328,77.1842,77.8207,78.801,80.4389,82.2587,84.0785,85.7164,86.6967,87.3332
1,19,1,83.2418,0.0331,78.0596,78.7097,79.7107,81.3834,83.2418,85.1002,86.7729,87.7739,88.424
1,20,1,84.1996,0.0334,78.9103,79.5738,80.5955,82.3028,84.1996,86.0964,87.8037,88.8254,89.4889
1,21,1,85.1348,0.0338,79.7227,80.4016,81.4471,83.1939,85.1348,87.0757,88.8225,89.868,90.5469
1,22,1,86.0477,0.0341,80.529,81.2213,82.2873,84.0686,86.0477,88.0268,89.8081,90.8741,91.5664
1,23,1,86.941,0.0345,81.2996,82.0073,83.097,84.9179,86.941,88.9641,90.785,91.8747,92.5824
1,24,1,87.1161,0.0351,81.3651,82.0865,83.1974,85.0537,87.1161,89.1785,91.0348,92.1457,92.8671
1,25,1,87.972,0.0354,82.1148,82.8496,83.981,85.8715,87.972,90.0725,91.963,93.0944,93.8292
1,26,1,88.8065,0.0358,82.8269,83.5771,84.7321,86.6621,88.8065,90.9509,92.8809,94.0359,94.7861
1,27,1,89.6197,0.0361,83.5348,84.2982,85.4735,87.4375,89.6197,91.8019,93.7659,94.9412,95.7046
1,28,1,90.412,0.0364,84.2223,84.9988,86.1944,88.1923,90.412,92.6317,94.6296,95.8252,96.6017
1,29,1,91.1828,0.0367,84.8889,85.6784,86.8942,88.9257,91.1828,93.4399,95.4714,96.6872,97.4767
1,30,1,91.9327,0.037,85.5352,86.3377,87.5735,89.6384,91.9327,94.227,96.2919,97.5277,98.3302
1,31,1,92.6631,0.0373,86.1624,86.9779,88.2336,90.3318,92.6631,94.9944,97.0926,98.3483,99.1638
1,32,1,93.3753,0.0376,86.772,87.6004,88.8759,91.0072,93.3753,95.7434,97.8747,99.1502,99.9786
1,33,1,94.0711,0.0379,87.3655,88.2067,89.502,91.6663,94.0711,96.4759,98.6402,99.9355,100.7767
1,34,1,94.7532,0.0381,87.9634,88.8151,90.1267,92.3182,94.7532,97.1882,99.3797,100.6913,101.543
1,35,1,95.4236,0.0384,88.5319,89.3964,90.7277,92.9521,95.4236,97.8951,100.1195,101.4508,102.3153
1,36,-1.0915,96.4961,0.0403,89.7187,90.5139,91.7676,93.9456,96.4961,99.1958,101.7646,103.3696,104.4406
