Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,0.3487,3.3464,0.146,2.5074,2.6041,2.7577,3.0273,3.3464,3.6866,4.0114,4.2144,4.3497
1,1,0.2297,4.4709,0.134,3.4486,3.5659,3.7524,4.0807,4.4709,4.8893,5.2911,5.5434,5.7121
1,2,0.197,5.5675,0.1239,4.3859,4.522,4.738,5.1176,5.5675,6.0486,6.5097,6.7989,6.9921
1,3,0.1738,6.3762,0.1173,5.0917,5.24,5.4753,5.8879,6.3762,6.8974,7.3962,7.7087,7.9174
1,4,0.1553,7.0023,0.1132,5.6392,5.7967,6.0467,6.4846,7.0023,7.5545,8.0825,8.4131,8.6339
1,5,0.1395,7.5105,0.1108,6.0789,6.2445,6.507,6.9669,7.5105,8.0902,8.6444,8.9914,9.2232
1,6,0.1257,7.934,0.1096,6.4386,6.6115,6.8857,7.3661,7.934,8.5398,9.1193,9.4822,9.7247
1,7,0.1134,8.297,0.109,6.7427,6.9224,7.2072,7.7065,8.297,8.9273,9.5304,9.9084,10.161
1,8,0.1021,8.6151,0.1088,7.0057,7.1915,7.4864,8.0033,8.6151,9.2686,9.8944,10.2868,10.5491
1,9,0.0917,8.9014,0.1088,7.2401,7.4318,7.7359,8.2695,8.9014,9.5768,10.2242,10.6304,10.902
1,10,0.082,9.1649,0.1089,7.4545,7.6517,7.9647,8.514,9.1649,9.8612,10.5292,10.9485,11.229
1,11,0.073,9.4122,0.1091,7.6542,7.8567,8.1782,8.7427,9.4122,10.1289,10.817,11.2492,11.5384
1,12,0.0644,9.6479,0.1093,7.8444,8.0519,8.3815,8.9607,9.6479,10.3842,11.0916,11.5362,11.8338
1,13,0.0563,9.8749,0.1095,8.0273,8.2397,8.5772,9.1704,9.8749,10.6302,11.3563,11.813,12.1188
1,14,0.0487,10.0953,0.1098,8.2031,8.4205,8.7659,9.3734,10.0953,10.8699,11.6151,12.084,12.3982
1,15,0.0413,10.3108,0.1101,8.3748,8.597,8.9502,9.5718,10.3108,11.1044,11.8684,12.3495,12.6719
1,16,0.0343,10.5228,0.1104,8.5434,8.7704,9.1314,9.7668,10.5228,11.3352,12.1179,12.611,12.9416
1,17,0.0275,10.7319,0.1108,8.7079,8.9398,9.3087,9.9583,10.7319,11.5638,12.3659,12.8715,13.2106
1,18,0.0211,10.9385,0.1112,8.8701,9.1069,9.4836,10.1475,10.9385,11.7898,12.6112,13.1293,13.4768
1,19,0.0148,11.143,0.1116,9.0303,9.272,9.6566,10.3346,11.143,12.0136,12.8543,13.3849,13.741
1,20,0.0087,11.3462,0.1121,9.1876,9.4343,9.827,10.5197,11.3462,12.2371,13.0979,13.6416,14.0066
1,21,0.0029,11.5486,0.1126,9.3439,9.5956,9.9965,10.7039,11.5486,12.4597,13.3409,13.8977,14.2717
1,22,-0.0028,11.7504,0.1131,9.4994,9.7562,10.1652,10.8874,11.7504,12.682,13.5836,14.1536,14.5366
1,23,-0.0083,11.9514,0.1137,9.6523,9.9143,10.3318,11.0694,11.9514,12.9043,13.8274,14.4113,14.8038
1,24,-0.0137,12.1515,0.1143,9.804,10.0713,10.4973,11.2503,12.1515,13.1259,14.0705,14.6685,15.0706
1,25,-0.0189,12.3502,0.1149,9.9543,10.2268,10.6614,11.4299,12.3502,13.3461,14.3124,14.9245,15.3362
1,26,-0.024,12.5466,0.1154,10.1044,10.3819,10.8246,11.6079,12.5466,13.5632,14.5502,15.1758,15.5967
1,27,-0.0289,12.7401,0.116,10.2499,10.5326,10.9837,11.7823,12.7401,13.7781,14.7868,15.4265,15.8571
1,28,-0.0337,12.9303,0.1166,10.3924,10.6803,11.1397,11.9536,12.9303,13.9897,15.02,15.6737,16.114
1,29,-0.0385,13.1169,0.1172,10.5318,10.8248,11.2925,12.1214,13.1169,14.1976,15.2493,15.9172,16.3671
1,30,-0.0431,13.3,0.1178,10.6681,10.9661,11.4419,12.2858,13.3,14.4018,15.475,16.1568,16.6163
1,31,-0.0476,13.4798,0.1184,10.8014,11.1044,11.5884,12.4471,13.4798,14.6027,15.6971,16.3929,16.8621
1,32,-0.052,13.6567,0.119,10.9322,11.24,11.7321,12.6055,13.6567,14.8005,15.9163,16.6261,17.1048
1,33,-0.0564,13.8309,0.1195,11.0625,11.3751,11.8748,12.7622,13.8309,14.9946,16.1306,16.8536,17.3414
1,34,-0.0606,14.0031,0.1201,11.189,11.5064,12.0141,12.916,14.0031,15.1877,16.3449,17.0819,17.5793
1,35,-0.0648,14.1736,0.1206,11.3159,11.638,12.1532,13.0691,14.1736,15.378,16.5554,17.3057,17.8123
1,36,0.0567,14.7381,0.0969,12.271,12.5576,13.0113,13.804,14.7381,15.7316,16.6795,17.2723,17.6679
1,37,-0.0147,14.911,0.0981,12.4018,12.6915,13.151,13.9568,14.911,15.9315,16.9105,17.5254,17.9368
1,38,-0.0804,15.0839,0.0993,12.5316,12.8245,13.2901,14.1093,15.0839,16.1317,17.1422,17.7795,18.207
1,39,-0.1409,15.2569,0.1005,12.6605,12.9568,13.4287,14.2616,15.2569,16.3323,17.3746,18.0347,18.4786
1,40,-0.1966,15.4299,0.1016,12.7907,13.0904,13.5684,14.4145,15.4299,16.5321,17.6054,18.2877,18.7478
1,41,-0.248,15.603,0.1027,12.9202,13.2233,13.7076,14.5673,15.603,16.7322,17.837,18.5418,19.0183
1,42,-0.299,15.7775,0.1038,13.0507,13.3573,13.8479,14.7213,15.7775,16.9343,18.0713,18.7996,19.293
1,43,-0.3461,15.9521,0.1049,13.1805,13.4907,13.9879,14.8751,15.9521,17.1367,18.3064,19.0583,19.569
1,44,-0.3895,16.1268,0.106,13.3095,13.6235,14.1273,15.0287,16.1268,17.3396,18.5423,19.318,19.8462
1,45,-0.4297,16.3015,0.107,13.4401,13.7577,14.268,15.1831,16.3015,17.5415,18.7762,19.5753,20.1205
1,46,-0.4669,16.4763,0.108,13.57,13.8913,14.4083,15.3373,16.4763,17.7438,19.0108,19.8334,20.396
1,47,-0.5013,16.6512,0.1089,13.7016,14.0265,14.5499,15.4924,16.6512,17.9452,19.2434,20.0889,20.6682
1,48,-0.5361,16.8276,0.1099,13.8321,14.1609,14.6911,15.6478,16.8276,18.1498,19.4815,20.3516,20.9491
1,49,-0.5684,17.0041,0.1108,13.9644,14.2969,14.8336,15.804,17.0041,18.3535,19.7175,20.6115,21.2267
1,50,-0.5983,17.1807,0.1118,14.0937,14.4302,14.9741,15.9591,17.1807,18.5589,19.957,20.8761,21.5099
1,51,-0.6261,17.3573,0.1127,14.2247,14.5651,15.1158,16.115,17.3573,18.7632,20.1942,21.1377,21.7895
1,52,-0.6518,17.534,0.1136,14.3552,14.6996,15.2573,16.2708,17.534,18.9678,20.432,21.4001,22.07
1,53,-0.6758,17.7108,0.1144,14.4875,14.8358,15.4002,16.4275,17.7108,19.1714,20.6676,21.6592,22.3468
1,54,-0.6998,17.8888,0.1153,14.6184,14.9707,15.5423,16.5842,17.8888,19.378,20.9083,21.9255,22.632
1,55,-0.7222,18.067,0.1161,14.7512,15.1075,15.6859,16.7419,18.067,19.5837,21.1469,22.1885,22.9134
1,56,-0.743,18.2452,0.117,14.8811,15.2416,15.8274,16.8983,18.2452,19.791,21.3889,22.4565,23.2007
1,57,-0.7623,18.4235,0.1178,15.0129,15.3775,15.9703,17.0557,18.4235,19.9972,21.6285,22.7209,23.4838
1,58,-0.7803,18.6018,0.1186,15.1442,15.5129,16.113,17.2129,18.6018,20.2036,21.8685,22.9861,23.7677
1,59,-0.7971,18.7802,0.1194,15.275,15.648,16.2554,17.3701,18.7802,20.4103,22.1091,23.252,24.0526
1,60,-0.8162,18.9625,0.1202,15.4096,15.7868,16.4013,17.5308,18.9625,20.6217,22.3558,23.5254,24.3462
1,61,-0.8339,19.1449,0.1211,15.5413,15.9229,16.5451,17.6903,19.1449,20.835,22.6064,23.8043,24.6464
1,62,-0.8503,19.3274,0.1219,15.675,16.0608,16.6905,17.8508,19.3274,21.047,22.8544,24.0793,24.9419
1,63,-0.8655,19.51,0.1227,15.8082,16.1984,16.8357,18.0113,19.51,21.2594,23.1029,24.3552,25.2383
1,64,-0.8797,19.6926,0.1235,15.9409,16.3356,16.9805,18.1715,19.6926,21.4721,23.3518,24.6317,25.5357
1,65,-0.893,19.8753,0.1242,16.0758,16.4747,17.1269,18.3328,19.8753,21.6834,23.5979,24.9041,25.8281
1,66,-0.9106,20.0814,0.1254,16.2183,16.6227,17.2845,18.51,20.0814,21.929,23.8921,25.2356,26.1881
1,67,-0.9264,20.2877,0.1265,16.3627,16.7725,17.4437,18.6883,20.2877,22.1735,24.1837,25.5634,26.5434
1,68,-0.9407,20.4941,0.1275,16.5089,16.924,17.6043,18.8675,20.4941,22.4168,24.4725,25.887,26.8938
1,69,-0.9536,20.7007,0.1286,16.652,17.0727,17.7626,19.0455,20.7007,22.6624,24.7658,26.2172,27.2521
1,70,-0.9653,20.9073,0.1296,16.7969,17.223,17.9224,19.2243,20.9073,22.9065,25.0562,26.5431,27.6052
1,71,-0.9757,21.1141,0.1306,16.9412,17.3729,18.0819,19.4031,21.1141,23.1512,25.3474,26.8701,27.9595
1,72,-0.9753,21.3417,0.1318,17.0926,17.5315,18.2526,19.5977,21.3417,23.4215,25.6676,27.2273,28.3446
1,73,-0.9743,21.5693,0.133,17.2431,17.6893,18.4227,19.7918,21.5693,23.6921,25.9887,27.5859,28.7311
1,74,-0.973,21.797,0.1342,17.3931,17.8466,18.5924,19.9858,21.797,23.9633,26.3109,27.946,29.1195
1,75,-0.9714,22.0247,0.1353,17.5449,18.0056,18.7636,20.1807,22.0247,24.2332,26.6301,28.3016,29.5024
1,76,-0.9694,22.2524,0.1364,17.6961,18.164,18.9342,20.3753,22.2524,24.5035,26.95,28.6583,29.8867
1,77,-0.9672,22.4802,0.1375,17.8467,18.322,19.1045,20.5697,22.4802,24.7742,27.271,29.0165,30.2727
1,78,-0.9576,22.7267,0.1388,18.0028,18.4869,19.2842,20.7777,22.7267,25.0688,27.6201,29.405,30.6901
1,79,-0.9481,22.9732,0.14,18.1609,18.6536,19.4653,20.9867,22.9732,25.3621,27.9661,29.7888,31.1016
1,80,-0.9388,23.2196,0.1412,18.3181,18.8195,19.6459,21.1953,23.2196,25.6557,28.313,30.174,31.5149
1,81,-0.9298,23.4661,0.1424,18.4748,18.985,19.826,21.4036,23.4661,25.9499,28.6611,30.5611,31.9304
1,82,-0.921,23.7126,0.1435,18.6335,19.1523,20.0077,21.6129,23.7126,26.2426,29.0059,30.9432,32.3398
1,83,-0.9124,23.9591,0.1447,18.7888,19.3165,20.1867,21.8206,23.9591,26.5378,29.3563,31.3333,32.7592
1,84,-0.8993,24.2214,0.146,18.9505,19.4881,20.3749,22.0405,24.2214,26.8522,29.7286,31.7465,33.202
1,85,-0.8867,24.4837,0.1474,19.1084,19.6563,20.5602,22.2586,24.4837,27.1692,30.1068,32.1684,33.6556
1,86,-0.8745,24.7461,0.1486,19.2715,19.8292,20.7495,22.4792,24.7461,27.4829,30.4772,32.5787,34.0948
1,87,-0.8628,25.0084,0.1499,19.4308,19.9986,20.9358,22.698,25.0084,27.7991,30.8534,32.9977,34.5448
1,88,-0.8514,25.2707,0.1511,19.5923,20.17,21.1239,22.9177,25.2707,28.1137,31.2261,33.4114,34.9882
1,89,-0.8404,25.5329,0.1524,19.75,20.338,21.3089,23.1357,25.5329,28.4308,31.6048,33.8339,35.4425
1,90,-0.8208,25.8155,0.1537,19.9171,20.5169,21.5073,23.3707,25.8155,28.7697,32.003,34.2719,35.9083
1,91,-0.802,26.0979,0.155,20.0832,20.6948,21.7048,23.6051,26.0979,29.1089,32.4023,34.7117,36.3763
1,92,-0.7841,26.3804,0.1563,20.2486,20.8721,21.9018,23.8392,26.3804,29.4489,32.8032,35.1539,36.8473
1,93,-0.7669,26.6629,0.1576,20.4132,21.0486,22.0982,24.0728,26.6629,29.7895,33.2056,35.5981,37.3207
1,94,-0.7503,26.9453,0.1588,20.58,21.2272,22.2962,24.3075,26.9453,30.1284,33.604,36.0366,37.7871
1,95,-0.7344,27.2277,0.16,20.746,21.405,22.4936,24.5418,27.2277,30.4678,34.0038,36.4771,38.2561
1,96,-0.7076,27.5321,0.1613,20.9162,21.5895,22.7014,24.7925,27.5321,30.8323,34.427,36.9367,38.7393
1,97,-0.682,27.8365,0.1625,21.0887,21.7761,22.911,25.0443,27.8365,31.1952,34.8467,37.3912,39.2161
1,98,-0.6574,28.1409,0.1638,21.257,21.9588,23.1173,25.2941,28.1409,31.561,35.2729,37.8551,39.7048
1,99,-0.6339,28.4453,0.165,21.4277,22.1437,23.3255,25.545,28.4453,31.9252,35.6953,38.3137,40.187
1,100,-0.6113,28.7497,0.1661,21.6008,22.3309,23.5356,25.7972,28.7497,32.2875,36.1138,38.7666,40.6621
1,101,-0.5896,29.054,0.1673,21.7696,22.5141,23.7424,26.0472,29.054,32.6527,36.5388,39.229,41.1491
1,102,-0.5621,29.3761,0.1685,21.9449,22.7054,23.9597,26.3117,29.3761,33.0369,36.9807,39.7047,41.6457
1,103,-0.5357,29.6982,0.1698,22.1156,22.8925,24.1735,26.574,29.6982,33.4242,37.4295,40.1903,42.1545
1,104,-0.5103,30.0203,0.171,22.2886,23.0818,24.3892,26.8376,30.0203,33.8096,37.8742,40.6702,42.6565
1,105,-0.486,30.3424,0.1721,22.4644,23.2736,24.607,27.1024,30.3424,34.1933,38.315,41.1445,43.1517
1,106,-0.4627,30.6645,0.1733,22.6355,23.4612,24.8212,27.3651,30.6645,34.58,38.7627,41.6288,43.6592
1,107,-0.4402,30.9867,0.1744,22.8093,23.6512,25.0376,27.6292,30.9867,34.9649,39.2062,42.1072,44.1595
1,108,-0.416,31.3251,0.1756,22.9876,23.847,25.2619,27.905,31.3251,35.3705,39.6742,42.6121,44.6875
1,109,-0.3928,31.6635,0.1768,23.1648,24.0419,25.4855,28.1803,31.6635,35.7767,40.1438,43.1192,45.2184
1,110,-0.3705,32.0019,0.1779,23.3448,24.2394,25.7112,28.457,32.0019,36.1811,40.6091,43.6204,45.7421
1,111,-0.3491,32.3404,0.179,23.5238,24.436,25.9363,28.7334,32.3404,36.5861,41.0759,44.1239,46.2686
1,112,-0.3284,32.6788,0.1801,23.7017,24.6315,26.1604,29.0092,32.6788,36.9916,41.5439,44.629,46.7972
1,113,-0.3085,33.0173,0.1812,23.8786,24.8262,26.3839,29.2846,33.0173,37.3978,42.0133,45.1362,47.3284
1,114,-0.2869,33.3742,0.1823,24.0647,25.0314,26.6197,29.5754,33.3742,37.8248,42.5044,45.6649,47.8806
1,115,-0.2661,33.7312,0.1833,24.254,25.2394,26.858,29.8678,33.7312,38.2497,42.9912,46.1874,48.4254
1,116,-0.2461,34.0882,0.1844,24.4381,25.4427,27.0923,30.1577,34.0882,38.678,43.4852,46.7203,48.9829
