Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,90,0.9511,13.1903,0.0749,11.3389,11.5703,11.9272,12.5248,13.1903,13.8575,14.4593,14.8201,15.0546
1,91,0.8786,13.4411,0.0741,11.5843,11.8154,12.1722,12.7714,13.4411,14.1149,14.7247,15.0911,15.3297
1,92,0.8111,13.6937,0.0734,11.8287,12.0598,12.4173,13.019,13.6937,14.3748,14.993,15.3654,15.6081
1,93,0.7421,13.9462,0.0728,12.0712,12.3025,12.661,13.2658,13.9462,14.6353,15.2628,15.6415,15.8887
1,94,0.6772,14.2011,0.0722,12.3157,12.5474,12.9069,13.515,14.2011,14.8981,15.5345,15.9195,16.1711
1,95,0.6115,14.4558,0.0716,12.5606,12.7926,13.1532,13.7643,14.4558,15.1604,15.8057,16.1969,16.4529
1,96,0.5449,14.7105,0.0711,12.8035,13.0361,13.398,14.0127,14.7105,15.4236,16.0786,16.4765,16.7373
1,97,0.4629,14.9664,0.0707,13.0471,13.2801,13.6433,14.2618,14.9664,15.6892,16.3555,16.7614,17.0278
1,98,0.3809,15.2222,0.0702,13.2937,13.5268,13.8906,14.512,15.2222,15.9536,16.6301,17.0433,17.315
1,99,0.2988,15.4779,0.0698,13.5379,13.7713,14.1363,14.7612,15.4779,16.2187,16.9064,17.3276,17.605
1,100,0.2576,15.7611,0.0702,13.78,14.0177,14.3898,15.0278,15.7611,16.5206,17.2271,17.6605,17.9462
1,101,0.2188,16.0443,0.0706,14.0216,14.2638,14.6431,15.2944,16.0443,16.8227,17.5481,17.9938,18.288
1,102,0.1823,16.3276,0.0709,14.2657,14.512,14.8981,15.5619,16.3276,17.1238,17.8673,18.3248,18.627
1,103,0.1327,16.6311,0.0717,14.5153,14.7672,15.1625,15.8435,16.6311,17.4525,18.2216,18.6958,19.0094
1,104,0.0869,16.9347,0.0724,14.7668,15.0241,15.4283,16.1259,16.9347,17.7804,18.5743,19.0647,19.3896
1,105,0.0445,17.2382,0.0731,15.0176,15.2803,15.6936,16.408,17.2382,18.1085,18.9275,19.4344,19.7706
1,106,-0.0295,17.5614,0.074,15.284,15.5522,15.9746,16.707,17.5614,18.4609,19.3109,19.8388,20.1896
1,107,-0.0967,17.8847,0.0749,15.5494,15.8232,16.255,17.0057,17.8847,18.8138,19.6953,20.2445,20.6102
1,108,-0.158,18.2079,0.0758,15.8136,16.0931,16.5345,17.3039,18.2079,19.167,20.0805,20.6513,21.0321
1,109,-0.2158,18.5519,0.0768,16.0922,16.378,16.8303,17.6204,18.5519,19.5439,20.4924,21.0869,21.4842
1,110,-0.2682,18.8958,0.0778,16.3694,16.6618,17.1251,17.9364,18.8958,19.9213,20.9053,21.5237,21.9379
1,111,-0.3159,19.2397,0.0787,16.6484,16.9472,17.4213,18.2531,19.2397,20.2977,21.3164,21.9583,22.3889
1,112,-0.3718,19.61,0.0799,16.9423,17.2485,17.7351,18.5911,19.61,20.7071,21.7679,22.4386,22.8895
1,113,-0.4212,19.9804,0.0811,17.2346,17.5485,18.0479,18.9285,19.9804,21.1173,22.2208,22.9208,23.3922
1,114,-0.4652,20.3509,0.0822,17.5285,17.8499,18.362,19.2668,20.3509,21.5267,22.6722,23.4008,23.8926
1,115,-0.4936,20.7471,0.0837,17.8285,18.1598,18.688,19.6234,20.7471,21.9697,23.1644,23.9264,24.4415
1,116,-0.5175,21.1434,0.0851,18.1298,18.4707,19.0151,19.9807,21.1434,22.412,23.6553,24.4501,24.9882
1,117,-0.5377,21.5398,0.0864,18.4325,18.7831,19.3433,20.3386,21.5398,22.8537,24.1446,24.9716,25.5323
1,118,-0.5359,21.9764,0.0882,18.7472,19.1109,19.6923,20.7264,21.9764,23.3461,24.6942,25.5591,26.146
1,119,-0.5328,22.4131,0.0898,19.0663,19.4425,20.0445,21.116,22.4131,23.8364,25.2395,26.1406,26.7525
1,120,-0.5287,22.8498,0.0914,19.3832,19.7722,20.3951,21.5048,22.8498,24.3278,25.7867,26.7248,27.3623
1,121,-0.5171,23.3392,0.0935,19.7237,20.1288,20.7776,21.9348,23.3392,24.8846,26.4124,27.3958,28.0645
1,122,-0.5052,23.8287,0.0956,20.0613,20.4826,21.158,22.3637,23.8287,25.4431,27.0412,28.071,28.7717
1,123,-0.4932,24.3183,0.0975,20.4029,20.8402,21.5414,22.7943,24.3183,25.9996,27.6658,28.7403,29.4719
1,124,-0.4634,24.8681,0.1,20.7647,21.2226,21.9571,23.2701,24.8681,26.6319,28.3806,29.5085,30.2765
1,125,-0.4361,25.4179,0.1024,21.1264,21.6049,22.3727,23.7458,25.4179,27.2644,29.0957,30.2772,31.0817
1,126,-0.4108,25.9677,0.1047,21.488,21.9871,22.7882,24.2215,25.9677,27.8969,29.8108,31.0458,31.8869
1,127,-0.3863,26.5725,0.1071,21.8871,22.4087,23.2461,24.7451,26.5725,28.5924,30.5971,31.8909,32.7721
1,128,-0.3636,27.1774,0.1094,22.286,22.8301,23.7039,25.2688,27.1774,29.2881,31.3837,32.7365,33.6579
1,129,-0.3425,27.7822,0.1115,22.6889,23.2551,24.1646,25.794,27.7822,29.9817,32.1658,33.576,34.5365
